Restaurant Name,Inspection Type,Inspection Date,Inspection Score,Street Number,Street Name,Street Unit,Zip,Street Address,Inspection Month,Inspection Year,Lat,Long,Type,Rating,Rating Count
CAULDRON ICE CREAM,Routine,3/13/2019,96,3001,KNOX,#103,75205,3001 KNOX ST #103,3/1/2019,FY2019,32.8213481,-96.7871751,Restaurant,4.3,1240
CEDAR GROVE,Routine,3/28/2017,92,4123,CEDAR SPRINGS,#110,75219,4123 CEDAR SPRINGS RD #110,3/1/2017,FY2017,32.8116443,-96.8132487,Restaurant,4.2,19
CEDAR SPRINGS TAP HOUSE,Routine,11/25/2019,90,4123,CEDAR SPRINGS,#101,75219,4123 CEDAR SPRINGS RD #101,11/1/2019,FY2020,32.8116443,-96.8132487,Restaurant,4.2,19
CENTENNIAL BAR & BUFFET,Routine,12/21/2019,97,300,REUNION,,75202,300 REUNION BLVD,12/1/2019,FY2020,32.775681,-96.8097294,Restaurant,4.2,36
CESAR TACOS,Routine,4/5/2018,82,2450,COCKRELL HILL,,75211,2450 S COCKRELL HILL RD,4/1/2018,FY2018,32.7188567,-96.8909204,Restaurant,3.9,244
CESAR'S TACOS,Routine,9/28/2019,84,2019,NORTHWEST,,75220,2019 W NORTHWEST HWY,9/1/2019,FY2019,32.8679315,-96.9087966,Restaurant,4.1,273
CESAR'S TACOS,Routine,9/5/2019,86,2919,DAVIS,,75211,2919 W DAVIS ST,9/1/2019,FY2019,32.7497826,-96.8697177,Restaurant,4.1,1069
CESAR'S TACOS,Routine,8/9/2019,85,1106,DAVIS,,75208,1106 W DAVIS ST,8/1/2019,FY2019,32.7492692,-96.8406103,Restaurant,4,784
CESAR'S TACOS,Routine,8/13/2019,91,3025,WESTMORELAND,,75233,3025 S WESTMORELAND RD,8/1/2019,FY2019,32.7102077,-96.8745149,Restaurant,4.1,299
CEVICHE,Routine,11/26/2019,93,451,DAVIS,,75208,451 W DAVIS ST,11/1/2019,FY2020,32.7496249,-96.8300542,Restaurant,4.2,198
CHARCO BROILER STEAK,Routine,9/16/2019,93,1612,BUCKNER,,75217,1612 S BUCKNER BLVD,9/1/2019,FY2019,32.7399027,-96.6821694,Restaurant,4.3,241
CHARCOAL AVENUE,Routine,9/9/2019,93,17509,COIT,#7,75252,17509 COIT RD #7,9/1/2019,FY2019,32.9893947,-96.7687499,Restaurant,4.5,373
CHARLES,Routine,8/9/2019,90,1632,MARKET CENTER,,75207,1632 MARKET CENTER BLVD,8/1/2019,FY2019,32.7930779,-96.8218464,Restaurant,4.7,154
CHAVEZ SPORTS BAR,Routine,1/11/2020,100,10828,FERGUSON,,75228,10828 FERGUSON RD,1/1/2020,FY2020,32.8421353,-96.6631856,Restaurant,4.9,8
CHEDDAR'S,Routine,11/13/2019,97,12355,GREENVILLE,,75243,12355 GREENVILLE AVE,11/1/2019,FY2020,32.9159189,-96.7443394,Restaurant,3.9,2671
CHEDDAR'S,Routine,9/17/2019,91,39640,LBJ,,75237,39640 LBJ FRWY,9/1/2019,FY2019,32.644901,-96.858445,Restaurant,3.7,2221
CHEESESTEAK HOUSE,Routine,10/10/2018,92,2015,DAVIS,,75208,2015 W DAVIS ST,10/1/2018,FY2019,32.749946,-96.8515522,Restaurant,4.6,934
CHEF CED'S FOODIE SHACK,Routine,3/28/2019,84,8300,LA PRADA,#176,75228,8300 LA PRADA DR #176,3/1/2019,FY2019,32.8076871,-96.6674532,Restaurant,4.5,17
CHEF WANG,Routine,12/11/2019,93,1201,MAIN,,75202,1201 MAIN ST,12/1/2019,FY2020,32.7804991,-96.8018622,Restaurant,4.4,139
CHELLES MACARONS,Routine,4/15/2019,100,920,HARWOOD,#305,75201,920 S HARWOOD ST #305,4/1/2019,FY2019,32.77747,-96.7900856,Restaurant,4.4,355
CHEMITAS,Routine,4/22/2019,96,835,JEFFERSON,,75208,835 W JEFFERSON BLVD,4/1/2019,FY2019,32.743403,-96.8373398,Restaurant,4.3,91
CHESTERFIELDS,Routine,1/16/2019,93,2555,INWOOD,#143,75235,2555 INWOOD RD #143,1/1/2019,FY2019,32.8223726,-96.8360285,Restaurant,4.5,54
CHEVRON FOOD MART,Routine,5/8/2019,96,14225,COIT,,75254,14225 COIT RD,5/1/2019,FY2019,32.9432211,-96.7698308,Restaurant,4.3,615
CHIC BAKERY,Routine,2/11/2019,94,238,SUNSET,,75208,238 SUNSET AVE,2/1/2019,FY2019,32.7439613,-96.8262911,Restaurant,4.6,77
CHICAGO'S CHICKEN COOP,Routine,6/24/2019,90,3636,FRANKFORD,#320,75287,3636 FRANKFORD RD #320,6/1/2019,FY2019,32.995834,-96.8539976,Restaurant,5,6
CHICAGO'S TASTE AND MORE,Routine,5/31/2018,93,7508,AMBASSADOR,,75247,7508 AMBASSADOR ROW,5/1/2018,FY2018,32.8167445,-96.8740576,Restaurant,4.6,23
CHICK-FIL-A,Routine,12/6/2019,92,1201,ELM,#LL06,75202,1201 ELM ST #LL06,12/1/2019,FY2020,32.7811576,-96.8019938,Restaurant,3.5,46
CHICK-FIL-A,Routine,12/12/2019,92,14897,PRESTON,,75254,14897 PRESTON RD,12/1/2019,FY2020,32.9510695,-96.8039953,Restaurant,4.3,996
CHICK-FIL-A,Routine,12/30/2019,90,2429,WHEATLAND,,75237,2429 W WHEATLAND RD,12/1/2019,FY2020,32.6481138,-96.8582601,Restaurant,3.4,421
CHICK-FIL-A,Routine,12/16/2019,97,3820,NORTHWEST,,75220,3820 W NORTHWEST HWY,12/1/2019,FY2020,32.8613151,-96.8521441,Restaurant,4.5,1209
CHICK-FIL-A,Routine,9/4/2019,94,3040,MOCKINGBIRD,,75235,3040 W MOCKINGBIRD LN,9/1/2019,FY2019,32.8320116,-96.839099,Restaurant,4,1182
