Restaurant Name,Inspection Type,Inspection Date,Inspection Score,Street Number,Street Name,Street Unit,Zip,Street Address,Inspection Month,Inspection Year,Lat,Long,Type,Rating,Rating Count
PARKER BARROWS,Routine,6/13/2019,80,338,DAVIS,,75208,338 W DAVIS ST,6/1/2019,FY2019,32.7493244,-96.8281679,Bar,4.4,2773
PASTELERIA LA ROCA,Routine,2/8/2019,91,3812,CLARENDON,,75211,3812 W CLARENDON,2/1/2019,FY2019,32.734446,-96.8836656,Restaurant,4.2,252
PASTELERIA UNIVERSO,Routine,1/13/2019,89,9632,OVERLAKE,,75220,9632 OVERLAKE DR,1/1/2019,FY2019,32.8577382,-96.8705259,Restaurant,3.7,62
PASTERERIA DEL NORTE,Routine,1/4/2019,95,2531,FORT WORTH,,75211,2531 FORT WORTH AVE,1/1/2019,FY2019,32.7588891,-96.864201,Restaurant,3.9,11
PAUL MARTINS AMERICAN GRILL,Routine,8/28/2019,87,3848,OAK LAWN,#210,75219,3848 OAK LAWN AVE #210,8/1/2019,FY2019,32.8150283,-96.8018189,Restaurant,4.4,580
PAULS FOOD & FUEL MART,Routine,10/11/2019,92,11115,GARLAND,,75218,11115 GARLAND RD,10/1/2019,FY2020,32.8475935,-96.6860091,Restaurant,4,58
PAYLESS CONVENIENCE,Routine,6/19/2019,97,1000,RIVERFRONT,,75207,1000 N RIVERFRONT BLVD,6/1/2019,FY2019,32.78655,-96.817302,Restaurant,4.4,96
PAYLESS CONVENIENCE,Routine,3/26/2019,80,205,CARROLL,,75246,205 N CARROLL AVE,3/1/2019,FY2019,32.7922363,-96.7686159,Restaurant,4.6,468
PEAK FOOD MART,Routine,1/15/2019,100,700,PEAK,,75223,700 S PEAK ST,1/1/2019,FY2019,32.7869891,-96.7650129,Restaurant,3.8,114
PEARL CUP COFFEE,Routine,4/11/2019,90,7865,FIREFALL,#F180,75230,7865 FIREFALL WAY #F180,4/1/2019,FY2019,32.8821527,-96.7711593,Restaurant,4.4,22
PEGASUS ROOM,Routine,12/27/2018,99,1506,COMMERCE,200,75201,1506 COMMERCE ST 200,12/1/2018,FY2019,32.779651,-96.7981,Restaurant,4.1,494
PEI WEI ASIAN DINER,Routine,11/11/2019,91,2222,MCKINNEY,#100,75201,2222 MCKINNEY AVE #100,11/1/2019,FY2020,32.7927992,-96.8019654,Restaurant,3.8,317
PEI WEI ASIAN DINER,Routine,9/23/2019,84,3001,KNOX,#100,75205,3001 KNOX ST #100,9/1/2019,FY2019,32.8213481,-96.7871751,Restaurant,4.3,1240
PEI WEI ASIAN DINER,Routine,9/20/2019,88,8305,WESTCHESTER,,75225,8305 WESTCHESTER DR,9/1/2019,FY2019,32.8638456,-96.8069347,Restaurant,4.3,87
PEI WEI ASIAN DINER,Routine,9/4/2019,85,9540,GARLAND,#383,75218,9540 GARLAND RD #383,9/1/2019,FY2019,32.8340022,-96.701326,Restaurant,4.6,590
PEKING KITCHEN,Routine,11/26/2019,80,1710,NORMAN,,75211,1710 NORMAN DR,11/1/2019,FY2020,32.7267801,-96.8735408,Restaurant,4.1,236
PENNE POMODORO,Routine,12/23/2019,90,11661,PRESTON,#143,75230,11661 PRESTON RD #143,12/1/2019,FY2020,32.9072277,-96.8056485,Bar,4.7,806
PENNE POMODORO,Routine,9/16/2019,98,1924,ABRAMS,,75214,1924 ABRAMS PKWY,9/1/2019,FY2019,32.8135512,-96.7525121,Restaurant,4.6,506
PEPE & MITO'S MEXICAN CAN,Routine,12/30/2019,92,2911,ELM,,75226,2911 ELM ST,12/1/2019,FY2020,32.7851963,-96.7819689,Restaurant,4.5,961
PEPES PIZZA & TIENDA,Routine,8/19/2019,95,9615,OVERLAKE,,75220,9615 OVERLAKE DR,8/1/2019,FY2019,32.8576815,-96.870807,Restaurant,3.7,62
