,Restaurant Name,Inspection Type,Inspection Date,Inspection Score,Street Number,Street Name,Street Unit,Zip,Street Address,Inspection Month,Inspection Year,Lat,Long,Type,Rating,Rating Count
3203,PALETERIA LA MEXICANA,Routine,1/29/2019,86,525,JEFFERSON,#D,75203,525 E JEFFERSON BLVD #D,1/1/2019,FY2019,32.7467958,-96.817047,Restaurant,4.3,224
3204,PALETERIA LA SUPER,Routine,1/10/2020,80,3317,DAVIS,B,75211,3317 W DAVIS ST B,1/1/2020,FY2020,32.7498118,-96.8749161,,,
3205,PALETERIA LA SUPER,Routine,1/28/2019,91,3439,BANNING,,75233,3439 BANNING ST,1/1/2019,FY2019,32.7168456,-96.8779717,Restaurant,4.8,14
3206,PALETERIA MEXICO,Routine,6/10/2019,87,327,MOCKINGBRIRD,,75247,327 W MOCKINGBRIRD LN,6/1/2019,FY2019,32.8042379,-96.8740959,Restaurant,3.7,265
3207,PALETERIA MEXTY,Routine,1/8/2020,77,8145,BRUTON,,75217,8145 BRUTON RD,1/1/2020,FY2020,32.7493177,-96.6810844,Restaurant,4.3,173
3208,PALETERIA MICHOCANA,Routine,2/28/2019,89,4420,GASTON,,75246,4420 GASTON AVE,2/1/2019,FY2019,32.7963119,-96.7735919,Meal_Delivery,3.8,380
3209,PALETERIA POLAR,Routine,11/16/2018,86,4225,ROSS,,75204,4225 ROSS AVE,11/1/2018,FY2019,32.8012734,-96.7826189,,,
3210,PALETERIA SAN MARCOS,Routine,9/26/2019,98,2955,ANODE,,75220,2955 ANODE LN,9/1/2019,FY2019,32.8771934,-96.8784133,,,
3211,PALETERIA SAN MARCOS,Routine,2/6/2019,87,14203,COIT,#100,75240,14203 COIT RD #100,2/1/2019,FY2019,32.9415422,-96.7696844,Restaurant,4,693
3212,PALETERIA Y NEVERIA COCO BONGO,Routine,11/7/2018,95,1819,BUCKNER,#120,75217,1819 S BUCKNER BLVD #120,11/1/2018,FY2019,32.7433759,-96.6833182,Restaurant,4.4,258
3213,PALETERIA Y NEVERIA LA MICHOACANA,Routine,2/5/2019,84,8086,SPRING VALLEY,,75240,8086 SPRING VALLEY RD,2/1/2019,FY2019,32.9388744,-96.7664156,Meal_Takeaway,4.4,11
3214,PALETERIA Y TAQUERIA TREBOL,Routine,12/19/2019,100,4902,GRAND,,75223,4902 E GRAND AVE,12/1/2019,FY2020,32.7879032,-96.7533721,Restaurant,3,1
3215,PALMIERI CAFE,Routine,1/25/2019,96,920,HARWOOD,#100,75201,920 S HARWOOD #100,1/1/2019,FY2019,32.77747,-96.7900856,Restaurant,4.4,355
3216,PALOMA SNOWCONES & GRILL,Routine,11/19/2018,94,7112,LAKE JUNE,,75217,7112 LAKE JUNE RD,11/1/2018,FY2019,32.7339886,-96.6995691,,,
3217,PANADERA LA HACIENDA,Routine,3/7/2019,88,316,JEFFERSON,,75208,316 W JEFFERSON BLVD,3/1/2019,FY2019,32.7429885,-96.827269,,,
3218,PANADERIA & RESTAURANT GUATEMALTECA,Routine,12/23/2019,75,11055,DENNIS,#17,75229,11055 DENNIS RD #17,12/1/2019,FY2020,32.8989191,-96.8818006,Restaurant,4,157
3219,PANADERIA EL ARTESANO,Routine,2/7/2019,94,525,JEFFERSON,#C,75203,525 E JEFFERSON BLVD #C,2/1/2019,FY2019,32.7467958,-96.817047,Restaurant,4.3,224
3220,PANADERIA EL PALOTE,Routine,9/19/2019,93,2537,BUCKNER,,75227,2537 S BUCKNER BLVD,9/1/2019,FY2019,32.75599,-96.6834644,Bakery,4.6,1131
3221,PANADERIA LA UNION/RESTAURANT,Routine,10/2/2019,91,10618,FERGUSON,,75228,10618 FERGUSON RD,10/1/2019,FY2020,32.8411286,-96.6654295,Restaurant,3.7,114
