restaurant_name,inspection_type,inspection_date,inspection_score,street_number,street_name,street_unit,zip_code,street_address,inspection_month,inspection_year
SHAKE SHACK THE CRESCENT DALLAS,Routine,12/24/19,95,2500,PEARL,,75201,2500 N PEARL ST,12/1/19,FY2020
SHANGHAI,Routine,4/10/18,92,12817,PRESTON,#132,75230,12817 PRESTON RD #132,4/1/18,FY2018
SHAPE UP,Routine,1/16/19,100,14902,PRESTON,#805,75254,14902 PRESTON RD #805,1/1/19,FY2019
SHAPE UP DALLAS,Routine,10/16/17,94,14902,PRESTON,#414,75254,14902 PRESTON RD #414,10/1/17,FY2018
SHARETEA,Routine,9/19/19,94,13350,DALLAS,#410,75240,13350 N DALLAS PKWY #410,9/1/19,FY2019
"SHARKS, FISH AND CHICKEN",Routine,10/10/19,83,9759,FOREST,#120,75041,9759 FOREST LN STE #120,10/1/19,FY2020
SHARKY'S BAR AND GRILL,Routine,11/18/19,94,17453,PRESTON,,75252,17453 PRESTON RD,11/1/19,FY2020
SHAYNA'S ANNEX,Routine,10/23/19,81,1605,BECKLEY,#150,75208,1605 N BECKLEY AVE #150,10/1/19,FY2020
SHAYNA'S PLACE,Routine,7/8/19,89,1868,SYLVAN,#D150,75208,1868 SYLVAN AVE #D150,7/1/19,FY2019
SHEBA'S ETHIOPIAN KITCHEN,Follow-up,11/6/19,85,8989,FOREST,#136,75243,8989 FOREST LN #136,11/1/19,FY2020
SHEBELLE ETHIOPIAN CUISINE,Routine,12/4/19,93,17194,PRESTON,#140,75248,17194 PRESTON RD #140,12/1/19,FY2020
SHEGER ETHIPOIAN GROCERY,Routine,12/24/19,80,10190,FOREST,#125,75243,10190 FOREST LN #125,12/1/19,FY2020
SHELL C F HAWN,Routine,10/2/19,94,9512,C F HAWN,,75217,9512 C F HAWN FRWY,10/1/19,FY2020
SHELL EMPIRE,Routine,3/13/19,99,8390,STEMMONS,#B,75247,8390 N STEMMONS FRWY #B,3/1/19,FY2019
SHELL ON THE GO,Routine,12/27/19,80,7101,LAKE JUNE,,75217,7101 LAKE JUNE RD,12/1/19,FY2020
SHELL SHACK,Follow-up,10/9/19,80,2326,HENDERSON,,75206,2326 N HENDERSON AVE,10/1/19,FY2020
SHELL/KWIK MART/POPEYES,Routine,4/16/19,97,9540,LAKE JUNE,,75217,9540 LAKE JUNE RD,4/1/19,FY2019
SHERATON DALLAS-BANQUET HALL,Routine,9/25/19,92,443,OLIVE,,75201,443 N OLIVE ST,9/1/19,FY2019
SHERRY LANE DELI,Routine,4/9/19,80,5949,SHERRY,#130,75225,5949 SHERRY LN #130,4/1/19,FY2019
SHIFA SHELL,Routine,8/16/18,92,6505,NORTHWEST,,75231,6505 E NORTHWEST HWY,8/1/18,FY2018
SHINJUKU SUSHI,Routine,12/19/19,100,8204,WALNUT HILL LN SSB,#LL1,75231,8204 WALNUT HILL LN SSB #LL1,12/1/19,FY2020
SHINSAEGAE,Routine,7/13/19,82,1894,ROYAL,#106,75229,1894 ROYAL LN STE #106,7/1/19,FY2019
SHINSEI RESTAURANT,Routine,11/21/19,82,7713,INWOOD,,75209,7713 INWOOD RD,11/1/19,FY2020
SHIP'S LOUNGE,Routine,10/7/19,89,1613,GREENVILLE,,75206,1613 GREENVILLE AVE,10/1/19,FY2020
SHIPLEY DONUT JKW,Routine,12/28/18,83,10332,FERGUSON,,75228,10332 FERGUSON RD,12/1/18,FY2019
SHIRAZ MEDITERRANEAN GRILL,Routine,7/16/19,97,18101,PRESTON,#101,75252,18101 PRESTON RD #101,7/1/19,FY2019
SHIVA'S BAR & GRILL,Routine,12/5/19,82,1001,ROSS,#132,75201,1001 ROSS AVE #132,12/1/19,FY2020
SHIVAS BAR & GRILL,Routine,5/30/19,60,1907,GREENVILLE,,75206,1907 GREENVILLE AVE,5/1/19,FY2019
SHOALS,Routine,12/31/18,97,2614,ELM,#110,75226,2614 ELM ST #110,12/1/18,FY2019
SHON'S SNACK CORNER,Routine,11/28/18,97,6333,FOREST PARK,#205,75235,6333 FOREST PARK RD #205,11/1/18,FY2019
SHOOTERS IN VICTORY,Routine,9/26/19,84,3030,OLIVE,#105,75204,3030 OLIVE ST #105,9/1/19,FY2019
SHOP & SAVE FOOD MART,Routine,11/18/18,93,8104,HARRY HINES,,75235,8104 HARRY HINES BLVD,11/1/18,FY2019
SHOP N GO,Routine,12/3/19,94,4900,BRYAN,,75206,4900 BRYAN ST,12/1/19,FY2020
SHOP N GO,Routine,5/16/19,86,4950,COLUMBIA,,75214,4950 COLUMBIA AVE,5/1/19,FY2019
SHOP N GO,Routine,1/6/19,92,2302,GUS THOMASSON,#100,75228,2302 GUS THOMASSON RD #100,1/1/19,FY2019
SHOP N GO,Routine,10/26/18,84,2508,FITZHUGH,,75204,2508 N FITZHUGH AVE,10/1/18,FY2019
SHOP N GO SK,Routine,1/10/20,90,1900,HALL,,75204,1900 N HALL ST,1/1/20,FY2020
SHOP T MART,Routine,11/19/18,90,12307,PLANO,,75243,12307 PLANO RD,11/1/18,FY2019
SHORT STOP,Routine,9/23/19,89,6025,ROYAL,#101,75220,6025 ROYAL LN #101,9/1/19,FY2019
SHRIMP DOC,Routine,10/12/18,83,6005,RL THORNTON,#100,75232,6005 S RL THORNTON FRWY #100,10/1/18,FY2019
SHURI AFRICAN,Routine,8/27/19,91,9410,WALNUT,#115,75243,9410 WALNUT ST #115,8/1/19,FY2019
SI LOM THAI ASIAN FUSION,Routine,9/16/19,87,3300,OAK LAWN,#110,75219,3300 OAK LAWN AVE #110,9/1/19,FY2019
SI LOM THAI EXPRESS,Routine,11/5/19,89,11661,PRESTON,#202,75230,11661 PRESTON RD #202,11/1/19,FY2020
SI TAPAS RESTAURANT BAR,Routine,7/22/19,81,2207,ALLEN,,75204,2207 ALLEN ST,7/1/19,FY2019
SID'S FOOD MART,Routine,12/12/19,83,13317,KLEBERG,,75253,13317 KLEBERG RD,12/1/19,FY2020
SIDE BAR MAIN,Routine,9/9/19,97,2626,HOWELL,#100,75204,2626 HOWELL ST #100,9/1/19,FY2019
SIFT & POUR,Routine,5/6/19,93,2401,VICTORY PARK,#160,75219,2401 VICTORY PARK LN #160,5/1/19,FY2019
SIGNATURE DELI,Routine,11/19/19,86,14785,PRESTON,#160,75254,14785 PRESTON RD STE #160,11/1/19,FY2020
SILVER CITY,Routine,12/30/19,94,7501,STEMMONS,#A,75247,7501 N STEMMONS FRWY #A,12/1/19,FY2020
SILVERADO,Routine,1/19/18,93,4428,MAIN,#200,75226,4428 MAIN ST #200,1/1/18,FY2018
SIMPLY FIT MEALS,Routine,1/3/17,84,8611,HILLCREST,#150,75205,8611 HILLCREST RD #150,1/1/17,FY2017
SIMPLY FIT MEALS,Routine,11/29/16,95,3839,MCKINNEY,#140,75204,3839 MCKINNEY AVE #140,11/1/16,FY2017
SIMPLY FONDUE,Routine,6/26/19,88,2108,GREENVILLE,,75206,2108 GREENVILLE AVE,6/1/19,FY2019
SINGLE WIDE,Routine,10/29/18,97,2110,GREENVILLE,,75206,2110 GREENVILLE AVE,10/1/18,FY2019
SINO HOUSE,Routine,7/2/18,81,18020,DALLAS,,75287,18020 N DALLAS PKWY,7/1/18,FY2018
SIPSTIR CAFE,Routine,4/11/19,89,3000,BLACKBURN,#180,75204,3000 BLACKBURN ST #180,4/1/19,FY2019
SISHI DE HANDROLL,Routine,9/18/19,87,8041,WALNUT HILL,#820,75231,8041 WALNUT HILL LN #820,9/1/19,FY2019
SISTERS CAFE,Routine,8/12/19,90,3662,CAMP WISDOM,#1052,75237,3662 W CAMP WISDOM RD #1052,8/1/19,FY2019
SIX BALL POOL CLUB,Routine,1/31/19,97,3610,LAMAR,,75215,3610 S LAMAR ST,1/1/19,FY2019
SIXTH FLOOR MUSEUM,Routine,10/23/19,97,501,ELM,#100,75202,501 ELM ST #100,10/1/19,FY2020
SK DONUTS,Routine,8/16/19,89,5181,KELLER SPRINGS,#103,75248,5181 KELLER SPRINGS RD #103,8/1/19,FY2019
SKILLMAN WOK,Routine,12/17/19,87,9780,LBJ,#104,75243,9780 LBJ FRWY #104,12/1/19,FY2020
SKILLMAN WOK,Routine,11/20/19,89,18900,DALLAS,#109,75287,18900 DALLAS PKWY #109,11/1/19,FY2020
SKINNY FATS,Routine,6/20/19,91,3700,MCKINNEY,#140,75204,3700 MCKINNEY AVE STE #140,6/1/19,FY2019
SKY CANON FEATURING STEPHEN PYLES,Routine,10/30/19,85,8008,CEDAR SPRINGS,C2216,75235,8008 CEDAR SPRINGS RD C2216,10/1/19,FY2020
SKY ROCKET BURGER,Routine,11/21/19,97,7877,FRANKFORD,#101B,75252,7877 FRANKFORD RD #101B,11/1/19,FY2020
SKYLINE SAUSAGE COMPANY,Routine,10/15/18,100,11830,WEBB CHAPEL,,75231,11830 WEBB CHAPEL RD,10/1/18,FY2019
SKYLINE STUDENT KITCHEN - CULINARY,Routine,12/3/19,98,7777,FORNEY,,75227,7777 FORNEY RD,12/1/19,FY2020
SLEEP INN DALLAS,Routine,1/7/19,95,1165,EMPIRE CENTRAL,,75247,1165 EMPIRE CENTRAL PL,1/1/19,FY2019
SLIM CHICKENS,Routine,10/21/19,88,9100,CENTRAL,#141,75231,9100 N CENTRAL EXPW #141,10/1/19,FY2020
SLOANE'S CORNER,Routine,1/9/20,94,2001,ROSS,#125,75201,2001 ROSS AVE #125,1/1/20,FY2020
SMALL BREW PUB,Routine,9/20/19,97,333,JEFFERSON,,75208,333 W JEFFERSON BLVD,9/1/19,FY2019
SMALL CAKES CUPCAKERY,Routine,1/10/19,94,14856,PRESTON,#212,75254,14856 PRESTON RD #212,1/1/19,FY2019
SMART & FINAL MART,Routine,10/22/18,97,1507,ERVAY,,75215,1507 S ERVAY ST,10/1/18,FY2019
SMART MART,Routine,2/19/19,89,3150,LEDBETTER,,75216,3150 E LEDBETTER DR,2/1/19,FY2019
SMASHBURGER,Routine,12/24/19,98,2222,MCKINNEY,280,75201,2222 MCKINNEY AVE 280,12/1/19,FY2020
SMITHY,Routine,9/12/19,85,2927,HENDERSON,,75206,2927 N HENDERSON AVE,9/1/19,FY2019
SMOKE,Routine,11/9/18,82,901,FORT WORTH,,75208,901 FORT WORTH AVE,11/1/18,FY2019
SMOKE STACC,Routine,4/29/19,100,2622,ERVAY,,75215,2622 S ERVAY ST,4/1/19,FY2019
SMOKEY JOHNS' BBQ,Routine,9/13/19,91,1820,MOCKINGBIRD,#18,75235,1820 W MOCKINGBIRD LN #18,9/1/19,FY2019
SMOKY ROSE,Routine,9/4/19,92,8602,GARLAND,,75218,8602 GARLAND RD,9/1/19,FY2019
SMOOTHIE FACTORY,Routine,12/17/19,96,8702,POLK,,75232,8702 S POLK ST,12/1/19,FY2020
SMOOTHIE FACTORY,Routine,11/26/19,82,2817,HOWELL,#210,75204,2817 HOWELL ST #210,11/1/19,FY2020
SMOOTHIE FACTORY,Routine,11/13/19,87,7522,CAMPBELL,#106,75248,7522 CAMPBELL RD #106,11/1/19,FY2020
SMOOTHIE FACTORY,Routine,4/9/19,94,13380,PRESTON,,75240,13380 PRESTON RD,4/1/19,FY2019
SMOOTHIE KING,Routine,11/14/19,92,5235,LOVERS,,75209,5235 W LOVERS LN,11/1/19,FY2020
SMOOTHIE KING,Routine,11/21/19,82,5706,MOCKINGBIRD,#130,75206,5706 E MOCKINGBIRD LN #130,11/1/19,FY2020
SMOOTHIE KING,Routine,11/11/19,96,6061,FOREST,,75230,6061 FOREST LN,11/1/19,FY2020
SMOOTHIE KING,Routine,6/11/19,80,3233,WHEATLAND,,75237,3233 W WHEATLAND RD,6/1/19,FY2019
SMOOTHIE KING,Routine,3/16/19,95,9371,GARLAND,#100,75218,9371 GARLAND RD #100,3/1/19,FY2019
SMOOTHIE KING,Routine,2/27/19,93,3560,FRANKFORD,,75287,3560 FRANKFORD RD,2/1/19,FY2019
SMOOTHIE KING,Routine,1/16/19,96,1700,PACIFIC,#C113,75201,1700 PACIFIC AVE #C113,1/1/19,FY2019
SMOOTHIE KING,Routine,1/29/19,84,6057,SKILLMAN,,75231,6057 SKILLMAN ST,1/1/19,FY2019
SMOOTHIE KING,Routine,1/31/19,100,650,PEARL,#H105,75201,650 N PEARL EXPW #H105,1/1/19,FY2019
SMOOTHIE KING,Routine,11/18/18,95,2304,MOCKINGBIRD,,75235,2304 W MOCKINGBIRD LN,11/1/18,FY2019
SMZ FOOD MART,Routine,9/26/19,90,4707,CENTRAL,,75215,4707 S CENTRAL EXPW,9/1/19,FY2019
SNACKS & MORE,Routine,11/16/18,95,3727,DILIDO,#114,75228,3727 DILIDO RD #114,11/1/18,FY2019
SNACKS TO GO LA PAJARITA,Routine,2/10/17,100,4806,LAMAR,,75215,4806 S LAMAR ST,2/1/17,FY2017
SNAP KITCHEN,Routine,11/4/19,93,4115,SKILLMAN,,75206,4115 SKILLMAN ST,11/1/19,FY2020
SNAP KITCHEN,Routine,11/19/19,97,4164,CENTRAL,,75204,4164 N CENTRAL EXPW,11/1/19,FY2020
SNAP KITCHEN,Routine,10/31/19,98,6025,ROYAL,#320,75230,6025 ROYAL LN #320,10/1/19,FY2020
SNAP KITCHEN,Routine,7/31/19,98,2222,MCKINNEY,#110,75201,2222 MCKINNEY AVE #110,7/1/19,FY2019
SNAP KITCHEN,Routine,7/30/19,97,4436,LEMMON,,75219,4436 LEMMON AVE,7/1/19,FY2019
SNAP KITCHEN,Routine,7/25/17,97,5627,LOVERS,,75209,5627 W LOVERS LN,7/1/17,FY2017
SNAP KITCHEN DALLAS COMMISSARY,Routine,4/12/17,94,7508,AMBASSADOR,#110,75247,7508 AMBASSADOR ROW #110,4/1/17,FY2017
SNAPPY FOODS,Routine,3/11/19,91,1821,ST AUGUSTINE,,75217,1821 S ST AUGUSTINE RD,3/1/19,FY2019
SNAPPY SALADS,Routine,1/8/20,93,14902,PRESTON,#512A,75254,14902 PRESTON RD #512A,1/1/20,FY2020
SNAPPY SALADS,Routine,1/13/20,86,5941,GREENVILLE,,75206,5941 GREENVILLE AVE,1/1/20,FY2020
SNAPPY SALADS,Routine,10/24/19,80,8687,CENTRAL,#2382,75225,8687 N CENTRAL EXPW #2382,10/1/19,FY2020
SNAPPY SALADS,Routine,7/15/19,90,5915,FOREST,#300,75230,5915 FOREST LN #300,7/1/19,FY2019
SNAPPY SALADS,Routine,3/22/19,85,717,HARWOOD,#100A,75201,717 N HARWOOD #100A,3/1/19,FY2019
SNO,Routine,1/7/20,95,920,HARWOOD,#121,75201,920 S HARWOOD ST #121,1/1/20,FY2020
SNOOZE AN AM EATERY,Routine,10/16/19,86,8041,WALNUT HILL,#846,75231,8041 WALNUT HILL LN #846,10/1/19,FY2020
