,index,Restaurant Name,Inspection Type,Inspection Date,Inspection Score,Street Number,Street Name,Street Unit,Zip,Street Address,Inspection Month,Inspection Year,Lat,Long,Type,Rating,Rating Count
152,4295,PANDA'S RESTAURANT,Routine,09/26/2019,90,3917,CEDAR SPRINGS,,75219,3917 CEDAR SPRINGS RD,09/1/19,FY2019,32.8107116,-96.8111685,Restaurant,3.4,159
153,4389,JINYA RAMEN BAR,Routine,11/04/2019,94,625,HIGH MARKET,#185,75219,625 HIGH MARKET ST #185,11/1/19,FY2020,32.786324,-96.8089535,,,
154,4392,ANTOINE'S OF DALLAS FOOD,Routine,11/05/2019,88,4234,HARRY HINES,A,75219,4234 HARRY HINES BLVD A,11/1/19,FY2020,32.8051152,-96.8226958,,,
155,4493,STARBUCKS KIOSK,Routine,09/23/2018,100,3878,OAK LAWN,#180A,75219,3878 OAK LAWN AVE #180A,09/1/18,FY2018,32.8154852,-96.8006898,Restaurant,4.2,334
156,4553,JALISCO,Routine,08/28/2019,91,3858,OAK LAWN,#470,75219,3858 OAK LAWN #470,08/1/19,FY2019,32.8147309,-96.8008653,Bar,4.4,496
157,4581,STARBUCKS COFFEE,Routine,12/24/2019,98,2800,OAK LAWN,,75219,2800 OAK LAWN AVE,12/1/19,FY2020,32.8068849,-96.81075009999999,,,
158,4672,DALLAS WOODY'S,Routine,12/31/2019,100,4011,CEDAR SPRINGS,,75219,4011 CEDAR SPRINGS RD,12/1/19,FY2020,32.8112142,-96.811886,,,
159,4753,COST PLUS WORLD MARKET,Routine,01/10/2019,100,3888,OAK LAWN,#111,75219,3888 OAK LAWN AVE #111,01/1/19,FY2019,32.8159746,-96.8013608,,,
160,4761,TACO BELL,Routine,09/19/2017,100,4341,LEMMON,,75219,4341 LEMMON AVE,09/1/17,FY2017,32.8174451,-96.8125536,Meal_Takeaway,3.6,451
161,4773,KALIENTE,Routine,08/27/2018,99,4350,MAPLE,,75219,4350 MAPLE AVE,08/1/18,FY2018,32.8103181,-96.8207022,Restaurant,3.7,694
162,4774,QUESA,Routine,10/26/2016,96,3900,CEDAR SPRINGS,,75219,3900 CEDAR SPRINGS RD,10/1/16,FY2017,32.810331,-96.81002,Cafe,4.2,1046
163,4806,PECAN ROOM & TAVERN,Routine,07/31/2018,99,3819,MAPLE,,75219,3819 MAPLE AVE,07/1/18,FY2018,32.8043848,-96.81609379999999,,,
164,4850,SCARDELLO,Routine,07/28/2017,100,3511,OAK LAWN,,75219,3511 OAK LAWN AVE,07/1/17,FY2017,32.8122911,-96.80545359999999,,,
