Restaurant Name,Inspection Type,Inspection Date,Inspection Score,Street Number,Street Name,Street Unit,Zip,Street Address,Inspection Month,Inspection Year
LAKE HIGHLANDS JR HIGH,Routine,05/21/2019,93,10301,WALNUT HILL,,75238,10301 WALNUT HILL LN,05/1/19,FY2019
JUSMEX,Routine,04/23/2019,81,400,ST PAUL,#110,75201,400 N ST PAUL ST #110,04/1/19,FY2019
CEDAR CREST ELEMENTARY SCHOOL,Routine,05/21/2019,92,2020,MOUSER,,75203,2020 MOUSER ST,05/1/19,FY2019
DALLAS CAN ACADEMY CHARTER SCHOOL,Routine,05/21/2019,100,325,TWELFTH,,75208,325 W TWELFTH ST,05/1/19,FY2019
FITOS TAQUERIA,Routine,05/21/2019,84,2808,CLARENDON,,75211,2808 W CLARENDON DR,05/1/19,FY2019
CHICKEN HOUSE PLUS,Routine,04/03/2019,84,909,FITZHUGH,,75246,909 N FITZHUGH AVE,04/1/19,FY2019
LA PICOSA,Routine,05/15/2019,87,8220,SPRING VALLEY,#101,75240,8220 SPRING VALLEY RD #101,05/1/19,FY2019
ROMA'S PIZZA & GRILL,Routine,05/20/2019,98,2555,WALNUT HILL,#500,75229,2555 WALNUT HILL LN #500,05/1/19,FY2019
TAQUERIA Y CARNICERIA GUANAJUATO,Routine,05/08/2019,88,2962,WALNUT HILL,,75229,2962 WALNUT HILL LN,05/1/19,FY2019
BURNING RICE,Routine,05/29/2019,81,6106,LUTHER,,75225,6106 LUTHER LN,05/1/19,FY2019
DAIRY QUEEN,Routine,05/23/2019,93,1811,BELTLINE,,75253,1811 S BELTLINE RD,05/1/19,FY2019
HEXTER ELEMENTARY SCHOOL,Routine,05/22/2019,94,9720,WATERVIEW,,75218,9720 WATERVIEW PKWY,05/1/19,FY2019
DAIRY QUEEN,Routine,06/10/2019,87,14815,COIT,,75248,14815 COIT RD,06/1/19,FY2019
EL TACASO BACKROOM,Routine,05/30/2019,90,902,WESTMORELAND,REAR,75211,902 N WESTMORELAND RD REAR,05/1/19,FY2019
SUBWAY,Routine,05/09/2019,96,8440,ABRAMS,#404,75243,8440 ABRAMS RD #404,05/1/19,FY2019
ARIF CAFE,Routine,06/03/2019,80,8367,PARK,,75231,8367 PARK LN,06/1/19,FY2019
BIRDIE ALEXANDER ELEMENTARY,Routine,05/24/2019,95,1830,GOLDWOOD,,75232,1830 GOLDWOOD DR,05/1/19,FY2019
EMBASSY SUITES PARK CENTRAL - BAR,Routine,05/16/2019,93,13131,CENTRAL,,75243,13131 N CENTRAL EXPW,05/1/19,FY2019
HUAPANGO MEXICAN CUISINE,Routine,05/08/2019,91,2971,WALNUT HILL,,75229,2971 WALNUT HILL LN,05/1/19,FY2019
CHURCH'S CHICKEN,Routine,06/04/2019,88,3601,FOREST,,75234,3601 FOREST LN,06/1/19,FY2019
KFC,Routine,06/10/2019,85,2802,LEDBETTER,,75241,2802 E LEDBETTER DR,06/1/19,FY2019
IBEX EHIOPIAN CUISINE & BAR,Routine,05/22/2019,81,12255,GREENVILLE,#130,75243,12255 GREENVILLE AVE #130,05/1/19,FY2019
JACK IN THE BOX,Routine,06/06/2019,93,2323,LEDBETTER,,75224,2323 W LEDBETTER DR,06/1/19,FY2019
BEYOND THE BOX CATERING,Routine,05/24/2019,81,2544,COMMERCE,,75212,2544 W COMMERCE ST,05/1/19,FY2019
TAQUERIO CARACOLES,Routine,05/28/2019,95,11411,NORTHWEST,#230,75238,11411 E NORTHWEST HWY STE #230,05/1/19,FY2019
THE ROSE CAFE,Routine,04/29/2019,96,8035,RL THORNTON,#612,75228,8035 E RL THORNTON FRWY #612,04/1/19,FY2019
JOHN W CARPENTER SCH,Routine,06/03/2019,100,2121,TOSCA,,75224,2121 TOSCA LN,06/1/19,FY2019
BRAUM'S ICE CREAM,Routine,06/12/2019,88,3441,FOREST,,75234,3441 FOREST LN,06/1/19,FY2019
I LOVE PHO NOODLE SOUP GRILL,Routine,05/17/2019,74,7927,FOREST,B,75230,7927 FOREST LN B,05/1/19,FY2019
BUTTERFIELD GOURMET LLC,Routine,06/11/2019,90,9800,PRESTON,,75230,9800 PRESTON RD,06/1/19,FY2019
TENET HEALTH CARE SYSTEMS,Routine,04/23/2019,99,1445,ROSS,#1500,75202,1445 ROSS AVE #1500,04/1/19,FY2019
URBAN PARK ELEMENTARY,Routine,05/09/2019,96,6901,MILITARY,,75227,6901 MILITARY PKWY,05/1/19,FY2019
MOSS HAVEN ELEMENTARY,Routine,05/07/2019,90,9202,MOSS FARM,,75243,9202 MOSS FARM LN,05/1/19,FY2019
URBAN CAPHE,Routine,06/06/2019,80,6030,LUTHER,#130,75225,6030 LUTHER LN #130,06/1/19,FY2019
BUCHANAN'S SPORTS BAR & GRILL,Routine,05/11/2019,81,11181,DENTON,#108,75229,11181 DENTON DR #108,05/1/19,FY2019
HOTEL LAWRENCE,Routine,05/15/2019,94,302,HOUSTON,,75202,302 S HOUSTON ST,05/1/19,FY2019
TENET HEALTH CARE SYSTEMS,Routine,10/31/2016,97,1445,ROSS,#1400,75202,1445 ROSS AVE #1400,10/1/16,FY2017
S & B STORE,Routine,06/11/2019,95,9606,C F HAWN,,75217,9606 C F HAWN FRWY,06/1/19,FY2019
SAN JANG KOREAN RESTAURANT,Routine,05/10/2019,82,11276,HARRY HINES,#102,75229,11276 HARRY HINES BLVD #102,05/1/19,FY2019
FUZZY'S TACO SHOP,Routine,05/20/2019,89,6760,ABRAMS,#101,75231,6760 ABRAMS RD #101,05/1/19,FY2019
SKILLMAN WOK,Routine,05/16/2019,83,18900,DALLAS,#109,75287,18900 DALLAS PKWY #109,05/1/19,FY2019
CHICK-FIL-A,Routine,06/13/2019,90,3820,NORTHWEST,,75220,3820 W NORTHWEST HWY,06/1/19,FY2019
FAMILY DOLLAR,Routine,06/13/2019,87,10025,ROYAL,,75238,10025 ROYAL LN,06/1/19,FY2019
GO FISH POKE,Routine,06/03/2019,84,6030,LUTHER,#110,75225,6030 LUTHER LN #110,06/1/19,FY2019
MERRIMAN PARK ELEMENTARY,Routine,05/10/2019,84,7101,WINEDALE,,75231,7101 WINEDALE DR,05/1/19,FY2019
ANTOJITOS AZTECA,Routine,05/20/2019,80,2838,CLARENDON,,75211,2838 W CLARENDON DR,05/1/19,FY2019
LA DUNI,Routine,08/16/2017,99,2612,IRVING,,75207,2612 IRVING BLVD,08/1/17,FY2017
APP,Routine,05/23/2019,82,2404,CEDAR SPRINGS,#500,75201,2404 CEDAR SPRINGS RD #500,05/1/19,FY2019
NEVERIA Y FRUTERIA LA FRESITA,Routine,05/14/2019,95,8433,LAKE JUNE,,75217,8433 LAKE JUNE RD,05/1/19,FY2019
PAPPY'S OLD FASHIONED HAMBURGERS,Routine,04/25/2019,88,1475,MOCKINGBIRD,,75247,1475 W MOCKINGBIRD LN,04/1/19,FY2019
GRANNY'S PANTRY INC,Routine,06/07/2019,94,4041,WHEATLAND,#220,75237,4041 W WHEATLAND RD #220,06/1/19,FY2019
ROLINGO DALLAS LLC,Routine,06/05/2019,70,6110,GREENVILLE,#100,75243,6110 GREENVILLE AVE #100,06/1/19,FY2019
CHINESE KITCHEN,Routine,06/10/2019,94,3939,POLK,#203,75224,3939 S POLK ST #203,06/1/19,FY2019
LAKE HIGHLANDS HIGH SCHOOL,Routine,05/15/2019,93,9449,CHURCH,,75238,9449 CHURCH RD,05/1/19,FY2019
CHARCO BROILER STEAK,Routine,05/20/2019,94,413,JEFFERSON,,75208,413 W JEFFERSON BLVD,05/1/19,FY2019
ST MARKS SCHOOL OF TEXAS,Routine,05/22/2019,91,10600,PRESTON,,75230,10600 PRESTON RD,05/1/19,FY2019
PARK'S HAMBURGER'S,Routine,05/31/2019,93,6333,FOREST PARK,#204A,75235,6333 FOREST PARK RD #204A,05/1/19,FY2019
SHINSEI RESTAURANT,Routine,04/30/2019,89,7713,INWOOD,,75209,7713 INWOOD RD,04/1/19,FY2019
THURGOOD MARSHALL ELEMENTARY SCHOOL,Routine,05/07/2019,94,9666,FERRIS BRANCH,,75240,9666 FERRIS BRANCH BLVD,05/1/19,FY2019
CHURCH'S CHICKEN,Routine,04/27/2019,82,8080,FERGUSON,,75228,8080 FERGUSON RD,04/1/19,FY2019
PRINCI ITALIA,Routine,06/10/2019,84,5959,ROYAL,#707,75225,5959 ROYAL LN #707,06/1/19,FY2019
ALOHA BAR-B-QUE,Routine,06/06/2019,74,5610,LEMMON,#A1,75209,5610 LEMMON AVE #A1,06/1/19,FY2019
EL HUARACHE RESTAIRANT,Routine,04/30/2019,76,3237,NORTHWEST,#102,75220,3237 W NORTHWEST HWY #102,04/1/19,FY2019
I-HOP,Routine,06/14/2019,93,2825,FOREST,,75234,2825 FOREST LN,06/1/19,FY2019
PARK AVENUE CLUB,Routine,05/17/2019,91,2443,WALNUT HILL,,75229,2443 WALNUT HILL LN,05/1/19,FY2019
MARIO'S MEXICAN & SALVADORIAN,Routine,04/30/2019,80,5404,LEMMON,,75209,5404 LEMMON AVE,04/1/19,FY2019
LIQUID ZOO SPORTS & CIGAR BAR,Routine,05/21/2019,94,2506,KNIGHT,,75219,2506 KNIGHT ST,05/1/19,FY2019
GREEK ISLES OF DALLAS,Routine,06/10/2019,86,5934,ROYAL,#120,75230,5934 ROYAL LN #120,06/1/19,FY2019
HAVANA CAFE,Routine,06/13/2019,79,1152,BUCKNER,2-126,75218,1152 N BUCKNER BLVD STE 2-126,06/1/19,FY2019
ARCADIA ELEMENTARY SCHOOL,Routine,05/21/2019,93,1300,JUSTIN,,75211,1300 N JUSTIN AVE,05/1/19,FY2019
SUSHI ICHIBAN,Routine,05/21/2019,80,12101,GREENVILLE,#106,75243,12101 GREENVILLE AVE #106,05/1/19,FY2019
ACCENT FOOD SERVICES,Routine,11/07/2018,97,3090,OLIVE,#400,75219,3090 OLIVE ST #400,11/1/18,FY2019
15710 FOODA-CHASE TOWER,Routine,05/29/2019,96,2200,ROSS,,75201,2200 ROSS AVE,05/1/19,FY2019
J G'S HAMBURGERS,Routine,05/23/2019,98,12101,GREENVILLE,#109,75243,12101 GREENVILLE AVE #109,05/1/19,FY2019
MULTIPLE CAREERS MAGNET,Routine,05/15/2019,93,4528,RUSK,,75204,4528 RUSK AVE,05/1/19,FY2019
SERENGETI GRILL,Routine,05/22/2019,87,650,R L THORNTON,,75203,650 S R L THORNTON FRWY,05/1/19,FY2019
JOSE,Routine,04/29/2019,84,4931,LOVERS,,75209,4931 W LOVERS LN,04/1/19,FY2019
T BONE PICKENS,Routine,06/14/2019,85,12477,MERIT,,75251,12477 MERIT DR,06/1/19,FY2019
SOLAR PREPARATORY SCHOOL FOR BOYS,Routine,05/15/2019,97,1802,MOSER,,75206,1802 MOSER DR,05/1/19,FY2019
SONIC DRIVE IN,Routine,05/22/2019,92,2927,LOMBARDY,,75220,2927 LOMBARDY LN,05/1/19,FY2019
MI CAMINO RESTAURANTE,Routine,05/09/2019,74,3830,NORTHWEST,#300,75220,3830 W NORTHWEST HWY #300,05/1/19,FY2019
TAQUERIA LOS ALTOS DE JALISCO,Routine,04/30/2019,77,3701,NORTHWEST,#302,75220,3701 W NORTHWEST HWY #302,04/1/19,FY2019
VEGAN FOOD HOUSE,Routine,06/05/2019,83,832,7TH,,75208,832 W 7TH ST,06/1/19,FY2019
RUBY'S SNO-BALLS,Routine,05/06/2019,94,1605,HASKELL,,75204,1605 N HASKELL AVE,05/1/19,FY2019
SONIC DRIVE IN,Routine,06/04/2019,92,8620,SPRING VALLEY,,75240,8620 SPRING VALLEY RD,06/1/19,FY2019
L A STEMMONS SCHOOL,Routine,05/24/2019,94,2727,KNOXVILLE,,75211,2727 KNOXVILLE ST,05/1/19,FY2019
GENEVA HEIGHTS ELEMENTARY SCHOOL,Routine,05/24/2019,97,2911,DELMAR,,75206,2911 DELMAR AVE,05/1/19,FY2019
GOLDEN CHICK,Routine,04/21/2019,78,3071,NORTHWEST,,75220,3071 W NORTHWEST HWY,04/1/19,FY2019
OLIVE GARDEN,Routine,05/24/2019,90,9079,VANTAGE POINT,,75243,9079 VANTAGE POINT DR,05/1/19,FY2019
ENO'S PIZZA TAVERN,Routine,06/12/2019,87,407,BISHOP,#101,75208,407 N BISHOP AVE STE #101,06/1/19,FY2019
REGAL PLAZA CAFE,Routine,04/30/2019,93,320,REGAL,#120,75247,320 REGAL ROW #120,04/1/19,FY2019
MCDONALD'S,Routine,05/28/2019,88,1808,BELTLINE,,75253,1808 S BELTLINE RD,05/1/19,FY2019
TACO Y MAS,Routine,05/22/2019,82,5419,ROSS,,75205,5419 ROSS AVE,05/1/19,FY2019
ST CECILIA SCHOOL,Routine,10/16/2019,73,635,MARY CLIFF,,75208,635 MARY CLIFF RD,10/1/19,FY2020
ROSS & HALL BEER GARDEN AND KITCHEN,Routine,05/31/2019,80,3300,ROSS,,75204,3300 ROSS AVE,05/1/19,FY2019
PALETERIA MEXICO,Routine,06/10/2019,87,327,MOCKINGBRIRD,,75247,327 W MOCKINGBRIRD LN,06/1/19,FY2019
ANDY'S FROZEN CUSTARD,Routine,05/10/2019,82,9655,AUDELIA,,75238,9655 AUDELIA RD,05/1/19,FY2019
LA TIENDA SUPER SELECTOS,Routine,05/02/2017,97,9508,WEBB CHAPEL,,75220,9508 WEBB CHAPEL RD,05/1/17,FY2017
PROMISE HOSPITAL OF DALLAS,Routine,05/30/2019,94,7955,HARRY HINES,,75235,7955 HARRY HINES BLVD,05/1/19,FY2019
LUCKY TEXAN,Routine,05/06/2019,95,5001,BUCKNER,,75227,5001 S BUCKNER BLVD,05/1/19,FY2019
ZARAGOZA ELEMENTARYSCHOOL,Routine,05/08/2019,85,4550,WORTH,,75246,4550 WORTH ST,05/1/19,FY2019
FAMILY CRISPY CHICKEN & RICE,Routine,06/12/2019,86,10909,WEBB CHAPEL,#129,75229,10909 WEBB CHAPEL RD #129,06/1/19,FY2019
KWIK MART VALERO,Routine,05/07/2019,93,1044,BUCKNER,,75217,1044 S BUCKNER BLVD,05/1/19,FY2019
POLLO REGIO,Follow-up,06/05/2019,85,13302,PRESTON,,75240,13302 PRESTON RD,06/1/19,FY2019
APP,Routine,05/21/2019,92,3818,ILLINOIS,,75211,3818 W ILLINOIS AVE,05/1/19,FY2019
CAFE SALSEPA,Routine,05/28/2019,93,2610,ELM,,75226,2610 ELM ST,05/1/19,FY2019
AM DONUT AND COFFEE,Routine,05/23/2019,97,115,ILLINOIS,,75224,115 W ILLINOIS AVE,05/1/19,FY2019
PERSHING ELEMENTARY SCHOOL,Routine,05/16/2019,92,5717,MEADERS,,75229,5717 MEADERS LN,05/1/19,FY2019
SEARCH PLAZA CAFE,Routine,06/03/2019,71,10670,CENTRAL,#150,75231,10670 N CENTRAL EXPW #150,06/1/19,FY2019
RESTAURANTE MAMITA TANCHO,Routine,06/05/2019,71,116,CARROLL,#A,75226,116 S CARROLL AVE #A,06/1/19,FY2019
DALLAS BAPTIST UNIVERSITY -CHICK-FIL-A,Routine,05/14/2019,98,3000,MOUNTAIN CREEK,,75211,3000 MOUNTAIN CREEK PKWY,05/1/19,FY2019
ROCKY MOUNTAIN CHOCOLATE FACTORY,Routine,08/09/2017,100,13350,DALLAS,#2445,75240,13350 N DALLAS PKWY #2445,08/1/17,FY2017
GREEN BAR,Routine,05/21/2019,80,6105,GREENVILLE,,75206,6105 GREENVILLE AVE,05/1/19,FY2019
MURPHY'S DELI,Routine,05/16/2019,92,12001,CENTRAL,#295,75243,12001 N CENTRAL EXPW #295,05/1/19,FY2019
HENRY LONGFELLOW ELEM,Routine,05/22/2019,95,5314,BOAZ,,75209,5314 BOAZ LN,05/1/19,FY2019
TACOS & TEQUILA 1ST FLOOR,Routine,05/16/2019,86,2800,ROUTH,#155,75201,2800 ROUTH ST #155,05/1/19,FY2019
ST THOMAS SCHOOL,Routine,05/24/2019,99,3741,ABRAMS,,75214,3741 ABRAMS RD,05/1/19,FY2019
CHAN THAI & PHO 88,Routine,06/13/2019,81,312,SEVENTH,,75208,312 W SEVENTH ST,06/1/19,FY2019
TACO CABANA,Routine,05/16/2019,96,9210,RL THORNTON,,75228,9210 E RL THORNTON FRWY,05/1/19,FY2019
EL MERENDERO RESTAURANT,Routine,06/10/2019,57,333,MOCKINGBIRD,,75247,333 W MOCKINGBIRD LN,06/1/19,FY2019
CESAR'S TACOS,Routine,05/20/2019,65,2575,WALNUT HILL,,75229,2575 WALNUT HILL LN,05/1/19,FY2019
TORCHY'S TACOS,Routine,05/31/2019,85,5600,SMU,#102,75206,5600 SMU BLVD #102,05/1/19,FY2019
TRAVEL CENTERS OF AMERICA,Routine,05/28/2019,95,7751,BONNIE VIEW,,75241,7751 BONNIE VIEW RD,05/1/19,FY2019
BOSTON MARKET,Routine,06/13/2019,96,3797,FOREST,#101,75234,3797 FOREST LN #101,06/1/19,FY2019
EL RANCHO,Routine,05/15/2019,86,14211,COIT,,75254,14211 COIT RD,05/1/19,FY2019
PHO DK,Routine,05/15/2019,91,14891,PRESTON,#130,75254,14891 PRESTON RD #130,05/1/19,FY2019
CJ & ANN HYMAN ELEMENTARY,Routine,05/15/2019,96,8441,FOXCREEK,,75249,8441 FOXCREEK TRL,05/1/19,FY2019
GUCKENHEIMER,Routine,05/24/2019,90,13532,CENTRAL,,75243,13532 N CENTRAL EXPW,05/1/19,FY2019
LAREDO TACO COMPANY,Routine,05/28/2019,86,1805,SYLVAN,#A,75208,1805 SYLVAN AVE #A,05/1/19,FY2019
LAKEWOOD ELEM SCHOOL,Routine,05/28/2019,100,3000,HILLBROOK,,75214,3000 HILLBROOK ST,05/1/19,FY2019
SMOOTHIE KING,Routine,07/30/2018,98,1700,PACIFIC,#C113,75201,1700 PACIFIC AVE #C113,07/1/18,FY2018
BABY BACK SHAK,Routine,05/21/2019,85,1800,AKARD,,75215,1800 S AKARD ST,05/1/19,FY2019
PEKING KITCHEN,Routine,05/31/2019,81,1710,NORMAN,,75211,1710 NORMAN DR,05/1/19,FY2019
COCO LOCO,Routine,05/15/2019,80,7303,FERGUSON,#140,75228,7303 FERGUSON RD #140,05/1/19,FY2019
EDWARD TITCHES ELEMENTARY,Routine,05/29/2019,99,9560,HIGHFIELD,,75227,9560 HIGHFIELD DR,05/1/19,FY2019
ST BERNARD SCHOOL,Routine,04/30/2019,94,1420,OLD GATE,,75218,1420 OLD GATE LN,04/1/19,FY2019
MARISCOS LA MAREA,Routine,05/30/2019,81,2576,GUS THOMASSON,,75228,2576 GUS THOMASSON RD,05/1/19,FY2019
SONRISA'S TAQUERIA BAR,Routine,04/28/2019,81,2908,SAMUELL,#101,75223,2908 SAMUELL BLVD STE #101,04/1/19,FY2019
HONEY BAKED HAM,Routine,06/05/2019,96,4343,NORTHWEST,#330,75220,4343 W NORTHWEST HWY #330,06/1/19,FY2019
HIGHLAND DALLAS - LOBBY BAR,Routine,01/25/2017,94,5300,MOCKINGBIRD,,75206,5300 E MOCKINGBIRD LN,01/1/17,FY2017
TOWER CLUB OF DALLAS,Routine,05/21/2019,88,1601,ELM,#4800,75201,1601 ELM ST #4800,05/1/19,FY2019
DALLAS CAN ACADEMY,Routine,11/12/2018,92,4621,ROSS,,75204,4621 ROSS AVE,11/1/18,FY2019
E-BAR TEX MEX RESTAURANT,Routine,06/06/2019,80,1901,HASKELL,#100,75204,1901 N HASKELL AVE #100,06/1/19,FY2019
CATERING BY CHEF RICHARD,Routine,05/21/2019,86,5214,LAMAR,,75215,5214 S LAMAR ST,05/1/19,FY2019
BBVA COMPASS CORNERSTONE CENTRALIZATION,Routine,06/05/2019,91,8080,CENTRAL,#120,75206,8080 N CENTRAL EXPW #120,06/1/19,FY2019
HOME 2 SUITES BAYLOR,Routine,03/28/2019,90,3301,GASTON,,75246,3301 GASTON AVE,03/1/19,FY2019
EL JORDAN CAFE,Routine,05/23/2019,90,416,BISHOP,,75208,416 N BISHOP AVE,05/1/19,FY2019
KROGER,Routine,04/18/2018,99,17194,PRESTON,,75248,17194 PRESTON RD,04/1/18,FY2018
SAMS CLUB,Routine,11/21/2018,100,5555,BUCKNER,,75227,5555 S BUCKNER BLVD,11/1/18,FY2019
LOVERS EGG ROLL,Routine,05/13/2019,87,16627,COIT,,75248,16627 COIT RD,05/1/19,FY2019
YEMBOL AFRICAN RESTAURANT,Routine,05/14/2019,81,9241,SKILLMAN,#102,75243,9241 SKILLMAN ST #102,05/1/19,FY2019
MCDONALDS,Routine,04/26/2019,94,650,RIVERFRONT,,75207,650 N RIVERFRONT BLVD,04/1/19,FY2019
WINGSTOP,Routine,04/21/2019,86,3400,LOMBARDY,#107,75220,3400 LOMBARDY LN #107,04/1/19,FY2019
HOMELESS ASSISTANCE CENTER,Routine,08/20/2018,100,1818,CORSICANA,,75201,1818 CORSICANA ST,08/1/18,FY2018
TERRACE,Routine,02/13/2018,99,2500,VICTORY,#5064,75201,2500 VICTORY AVE TERR #5064,02/1/18,FY2018
QUICK MART 108,Routine,05/06/2019,86,5329,ROSS,,75206,5329 ROSS AVE,05/1/19,FY2019
DOLLAR GENERAL,Routine,06/12/2019,91,11255,GARLAND,#200,75218,11255 GARLAND RD #200,06/1/19,FY2019
WILD ABOUT HARRY'S,Routine,05/30/2019,72,4527,TRAVIS,#B,75205,4527 TRAVIS ST #B,05/1/19,FY2019
SAINT ANN CAFE,Routine,05/30/2019,82,2514,HARRY HINES,,75201,2514 HARRY HINES BLVD,05/1/19,FY2019
KFC,Routine,05/15/2019,95,4303,LEMMON,,75219,4303 LEMMON AVE,05/1/19,FY2019
WALGREENS,Routine,06/12/2019,91,9807,WALNUT HILL,,75238,9807 WALNUT HILL LN,06/1/19,FY2019
KNOCKOUT SPORTS BAR,Routine,05/15/2019,80,15225,MONTFORT,,75248,15225 MONTFORT DR,05/1/19,FY2019
CVS PHARMACY,Routine,06/12/2019,96,8555,FERGUSON,,75228,8555 FERGUSON RD,06/1/19,FY2019
CHOCOLATE SECRETS,Routine,07/27/2017,98,3926,OAK LAWN,,75219,3926 OAK LAWN AVE,07/1/17,FY2017
FAIRMONT HOTEL,Routine,02/21/2018,100,1717,AKARD,,75201,1717 N AKARD ST,02/1/18,FY2018
BEN MILAM SCHOOL,Routine,05/15/2019,96,4200,MCKINNEY,,75205,4200 MCKINNEY AVE,05/1/19,FY2019
BUZZBREWS,Routine,06/11/2019,84,2300,VICTORY PARK,,75219,2300 VICTORY PARK LN,06/1/19,FY2019
BURGER KING,Routine,04/25/2019,96,801,RIVERFRONT,,75207,801 N RIVERFRONT BLVD,04/1/19,FY2019
GOOD LUCK DRIVE IN,Routine,06/06/2019,87,5018,SECOND,,75210,5018 SECOND AVE,06/1/19,FY2019
MCDONALDS,Routine,06/12/2019,86,3750,FOREST,,75229,3750 FOREST LN,06/1/19,FY2019
IMOTO-1ST FLOOR,Follow-up,06/11/2019,96,2400,VICTORY PARK,,75219,2400 VICTORY PARK LN,06/1/19,FY2019
MCDONALD'S,Routine,05/30/2019,96,2551,GUS THOMASSON,,75228,2551 GUS THOMASSON RD,05/1/19,FY2019
EL MICHOACANO RESTAURANTE,Routine,05/31/2019,94,10817,DENTON,#B,75220,10817 DENTON DR #B,05/1/19,FY2019
BAYLOR CANCER CENTER,Routine,04/23/2018,91,3410,WORTH,,75246,3410 WORTH ST,04/1/18,FY2018
NEIGHBORHOOD SERVICES PRESTON ROYAL,Routine,05/22/2019,93,10720,PRESTON,1101,75230,10720 PRESTON RD 1101,05/1/19,FY2019
MCDONALDS PARRISH FOODS,Routine,05/15/2019,82,3026,HAMPTON,,75212,3026 N HAMPTON RD,05/1/19,FY2019
FUDDRUCKERS,Routine,06/14/2019,92,4520,FRANKFORD,#1200,75287,4520 FRANKFORD RD #1200,06/1/19,FY2019
MARGARITA'S RESTAURANT,Routine,05/20/2019,94,423,JEFFERSON,,75208,423 W JEFFERSON BLVD,05/1/19,FY2019
TOM THUMB,Routine,06/10/2019,95,5959,ROYAL,,75230,5959 ROYAL LN,06/1/19,FY2019
WILLIAMS FRIED CHICKEN,Routine,06/03/2019,86,7959,GREAT TRINITY FOREST WAY,,75217,7959 GREAT TRINITY FOREST WAY,06/1/19,FY2019
FREENEY'S BBQ,Routine,06/04/2019,82,7822,LOOP 12,,75217,7822 S LOOP 12,06/1/19,FY2019
DENNY'S,Routine,06/13/2019,90,7120,COCKRELL HILL,,75236,7120 S COCKRELL HILL RD,06/1/19,FY2019
ROOTS PRESSED JUICES,Routine,07/11/2018,97,3527,OAK LAWN,,75219,3527 OAK LAWN AVE,07/1/18,FY2018
WONDERS ICE CREAM,Routine,06/11/2019,98,5150,LEMMON,#104,75209,5150 LEMMON AVE #104,06/1/19,FY2019
K B POLK ELEMENTARY SCH,Routine,05/29/2019,90,6911,VICTORIA,,75209,6911 VICTORIA AVE,05/1/19,FY2019
3ELEVEN KITCHEN & COCKTAILS,Routine,05/28/2019,80,311,MARKET,#100,75202,311 N MARKET ST #100,05/1/19,FY2019
WALGREENS,Routine,05/09/2019,95,8310,ABRAMS,,75243,8310 ABRAMS RD,05/1/19,FY2019
GORDOS TAQUERIA,Routine,06/12/2019,82,2324,ILLINOIS,,75224,2324 W ILLINOIS AVE,06/1/19,FY2019
WBS CATFISH,Routine,05/24/2019,96,8102,POLK,,75232,8102 S POLK ST,05/1/19,FY2019
DALLAS ACADEMY,Routine,05/22/2019,93,950,TIFFANY,,75218,950 TIFFANY WAY,05/1/19,FY2019
SPEED MAX,Routine,06/06/2019,96,5931,R. L. THORNTON,,75232,5931 S R. L. THORNTON FRWY,06/1/19,FY2019
LUNA COCINA,Routine,04/27/2019,83,4300,PARRY,,75223,4300 PARRY AVE,04/1/19,FY2019
CARLISLE ROOM,Routine,05/30/2017,100,1990,JACKSON,,75201,1990 JACKSON ST,05/1/17,FY2017
REED'S BBQ,Routine,05/16/2019,93,1811,BUCKNER,,75217,1811 S BUCKNER BLVD,05/1/19,FY2019
TORTILLA FACTORY AND FOOD,Routine,05/09/2019,86,2915,COMMUNITY,#106,75220,2915 COMMUNITY DR #106,05/1/19,FY2019
TOM THUMB,Routine,04/14/2019,80,7117,INWOOD,,75209,7117 INWOOD RD,04/1/19,FY2019
EL TACASO,Routine,04/30/2019,88,2739,NORTHWEST,,75220,2739 W NORTHWEST HWY,04/1/19,FY2019
HARD ROCK CAFE,Routine,05/31/2019,93,2211,HOUSTON,,75202,2211 N HOUSTON ST,05/1/19,FY2019
CAFE BRAZIL,Routine,06/06/2019,86,611,BISHOP,101,75208,611 N BISHOP AVE 101,06/1/19,FY2019
KIPP EWING CHARTER SCHOOL CAFETERIA,Routine,05/21/2019,95,1545,EWING,,75216,1545 S EWING AVE,05/1/19,FY2019
TAQUERIA LOS ALTOS DE JALISCO,Routine,05/24/2019,85,7827,LAKE JUNE,,75217,7827 LAKE JUNE RD,05/1/19,FY2019
K J GILLIAM COLLEGIATE ACADEMY,Routine,05/28/2019,95,1700,CAMP WISDOM,,75241,1700 E CAMP WISDOM RD,05/1/19,FY2019
THE ORIGINAL PANCAKE HOUS,Routine,06/05/2019,86,4343,NORTHWEST,#375,75220,4343 W NORTHWEST HWY #375,06/1/19,FY2019
THE EPSICOPAL SCHOOL OF,Routine,05/23/2019,86,8011,DOUGLAS,,75225,8011 DOUGLAS AVE,05/1/19,FY2019
WOLFGANG PUCK CATERING-PEROT MUSEUM,Routine,05/28/2019,94,2201,FIELD,,75202,2201 N FIELD ST,05/1/19,FY2019
TAQUERIA EL AQUILA REAL,Routine,05/30/2019,90,616,SCHOOLDELL,,75231,616 SCHOOLDELL DR,05/1/19,FY2019
WILLIAMS FRIED CHICKEN,Routine,06/05/2019,92,4875,SUNNYVALE,,75216,4875 SUNNYVALE ST,06/1/19,FY2019
