Restaurant Name,Inspection Type,Inspection Date,Inspection Score,Street Number,Street Name,Street Unit,Zip,Street Address,Inspection Month,Inspection Year
TAQUERIA LOS ALSOS DE JALISCO,Routine,10/08/2019,95,6012,ABRAMS,#102,75231,6012 ABRAMS RD #102,10/1/19,FY2020
BONITO FOOD STORE,Routine,09/05/2019,92,7020,FAIR OAKS,#100A,75231,7020 FAIR OAKS AVE #100A,09/1/19,FY2019
E Z TRIP FOOD STORES,Routine,09/25/2019,80,8240,ABRAMS,,75231,8240 ABRAMS RD,09/1/19,FY2019
SALVATION ARMY,Routine,10/04/2019,89,5554,HARRY HINES,,75235,5554 HARRY HINES BLVD,10/1/19,FY2020
FIRE BOX,Routine,10/02/2019,92,9918,PLANO,,75238,9918 PLANO RD,10/1/19,FY2020
NATURAL GROCERS,Routine,03/05/2019,99,11661,PRESTON,224,75230,11661 PRESTON RD 224,03/1/19,FY2019
LAKEWOOD DONUT,Routine,10/04/2019,83,1916,ABRAMS,,75214,1916 ABRAMS PKWY,10/1/19,FY2020
TART BAKERY,Routine,09/24/2019,91,1804,MARKET CENTER,,75207,1804 MARKET CENTER BLVD,09/1/19,FY2019
MI COCINA,Routine,09/16/2019,84,6332,LA VISTA,,75214,6332 LA VISTA DR,09/1/19,FY2019
LITTLE WORLD STORE,Routine,09/26/2019,87,4600,MALCOLM X,,75215,4600 S MALCOLM X BLVD,09/1/19,FY2019
CHICK-FIL-A,Routine,09/04/2019,94,3040,MOCKINGBIRD,,75235,3040 W MOCKINGBIRD LN,09/1/19,FY2019
TACOS CHILO,Routine,09/30/2019,84,1109,WALTON WALKER,,75211,1109 S WALTON WALKER BLVD,09/1/19,FY2019
PANADERIA LA UNION,Routine,10/02/2019,93,10618,FERGUSON,,75228,10618 FERGUSON RD,10/1/19,FY2020
RBC,Routine,09/04/2019,100,2617,COMMERCE,,75226,2617 COMMERCE ST,09/1/19,FY2019
JACK IN THE BOX,Routine,10/07/2019,85,13555,PRESTON,,75240,13555 PRESTON RD,10/1/19,FY2020
WHEATLAND SUBWAY,Routine,10/02/2019,94,3805,WHEATLAND,,75237,3805 W WHEATLAND RD,10/1/19,FY2020
