restaurant_name,inspection_type,inspection_date,inspection_score,street_number,street_name,street_unit,zip_code,street_address,inspection_month,inspection_year,lat,long,Unique Join
EAGLE OATES FOOD MART,Routine,01/17/2019,78,2222,OATES,,75228,401 S HAMPTON RD,Jan 2019,FY2019,32.821446,-96.677918,
EAGLE TRAVEL CENTER #1,Routine,02/05/2019,80,2275,NORTHWEST,,75220,4140 ABRAMS RD,Feb 2019,FY2019,32.862251,-96.893124,
EAST DALLAS SOCIAL ASSOCIATION,Routine,02/01/2019,92,3035,BUCKNER,,75228,819 E VERMONT AVE,Feb 2019,FY2019,32.808341,-96.683358,
EAST HAMPTON SANDWICH CO.,Routine,12/11/2019,91,200,CRESCENT,#100,75201,3260 IRVING BLVD #200,Dec 2019,FY2020,32.793886,-96.804201,
EAST HAMPTON SANDWICH CO.,Routine,10/31/2019,71,200,CRESCENT,#100,75201,3260 IRVING BLVD #300,Oct 2019,FY2020,32.793886,-96.804201,
EAST HAMPTON SANDWICH CO.,Routine,04/15/2019,80,200,CRESCENT,#100,75201,327 W MOCKINGBRIRD LN,Apr 2019,FY2019,32.793886,-96.804201,
EAST HAMPTON SANDWICH CO.,Routine,03/21/2019,91,12300,INWOOD,#180,75244,17606 PRESTON RD,Mar 2019,FY2019,32.916037,-96.818338,
EASTWOOD'S BAR,Follow-up,07/19/2019,91,3407,MCKINNEY,,75204,9702 BROCKBANK DR #110,Jul 2019,FY2019,32.805319,-96.798713,
EASTWOOD'S BAR,Routine,06/21/2019,72,3407,MCKINNEY,,75204,9702 BROCKBANK DR #130,Jun 2019,FY2019,32.805319,-96.798713,
EASY SHOP,Routine,01/25/2019,80,1028,CAMP WISDOM,,75232,10630 NEW CHURCH RD,Jan 2019,FY2019,32.662105,-96.83905,
EASY SLIDER,Routine,11/14/2019,91,2701,MAIN,#110,75226,6012 ABRAMS RD #100,Nov 2019,FY2020,37.34053,-95.274797,
EAT ZONE,Routine,08/19/2019,80,3003,ILLINOIS,1,75216,8008 CEDAR SPRINGS RD C2261,Aug 2019,FY2019,36.74501,-119.774544,
EAT ZONE,Routine,01/14/2019,72,3003,ILLINOIS,1,75216,8008 CEDAR SPRINGS RD C2321,Jan 2019,FY2019,36.74501,-119.774544,
EATZI'S,Routine,06/19/2019,87,3403,OAK LAWN,,75219,9661 AUDELIA RD #121,Jun 2019,FY2019,32.81138,-96.806319,
EATZI'S DELI,Routine,06/19/2019,99,3403,OAK LAWN,,75219,9661 AUDELIA RD 109- #110,Jun 2019,FY2019,32.81138,-96.806319,
EATZI'S MARKET BAKERY,Routine,06/19/2019,94,3403,OAK LAWN,,75219,9661 AUDELIA RD STE 107,Jun 2019,FY2019,32.81138,-96.806319,
EATZI'S MARKET CHEF CAFE,Routine,12/31/2019,98,3403,OAK LAWN,,75219,9661 N CENTRAL EXPW,Dec 2019,FY2020,32.81138,-96.806319,
EATZI'S MARKET CHEF CAFE,Routine,06/19/2019,95,3403,OAK LAWN,,75219,9661 SKILLMAN ST,Jun 2019,FY2019,32.81138,-96.806319,
EATZI'S MARKET COOKLINE,Routine,12/31/2019,97,3403,OAK LAWN,,75219,9663 FOREST LN,Dec 2019,FY2020,32.81138,-96.806319,
EATZI'S MARKET COOKLINE,Routine,06/19/2019,89,3403,OAK LAWN,,75219,9665 N CENTRAL EXPW,Jun 2019,FY2019,32.81138,-96.806319,
EATZI'S MARKET GRILL,Routine,12/31/2019,100,3403,OAK LAWN,,75219,9665 N CENTRAL EXPW #142,Dec 2019,FY2020,32.81138,-96.806319,
EATZI'S MARKET GRILL,Routine,06/19/2019,94,3403,OAK LAWN,,75219,9666 FERRIS BRANCH BLVD,Jun 2019,FY2019,32.81138,-96.806319,
EATZI'S MARKET PRODUCE,Routine,06/19/2019,100,3403,OAK LAWN,,75219,9666 PLANO RD,Jun 2019,FY2019,32.81138,-96.806319,
EATZI'S MARKET SANDWICH,Routine,06/19/2019,89,3403,OAK LAWN,,75219,9669 N CENTRAL EXPW #150,Jun 2019,FY2019,32.81138,-96.806319,
EBB & FLOW,Routine,09/24/2019,99,2651,COMMERCE,#100,75226,600 S RIVERFRONT BLVD #A,Sep 2019,FY2019,32.782976,-96.784299,
EBBY HALLIDAY SCHOOL CAFETERIA,Routine,09/11/2019,95,10210,TEAGARDEN,,75217,10455 N CENTRAL EXPW 123,Sep 2019,FY2019,32.67607,-96.64566,
EBBY HALLIDAY SCHOOL CAFETERIA,Routine,03/26/2019,96,10210,TEAGARDEN,,75217,10455 N CENTRAL EXPW STE #117,Mar 2019,FY2019,32.67607,-96.64566,
EDDIE DEEN,Routine,09/12/2019,100,1724,COCKRELL,,75215,2708 MAIN ST,Sep 2019,FY2019,32.766263,-96.791696,
EDDIE DEEN,Routine,03/26/2019,99,1724,COCKRELL,,75215,2708 N HENDERSON AVE #100,Mar 2019,FY2019,32.766263,-96.791696,
EDELIN'S SHAKES & CAKES,Routine,12/06/2019,89,11200,HARRY HINES,#S3,75229,12300 PLEASANT VALLEY DR,Dec 2019,FY2020,32.889045,-96.888727,
EDIBLE ALOFT,Routine,06/27/2019,95,1033,YOUNG,50,75202,10788 HARRY HINES BLVD #G-10,Jun 2019,FY2019,32.776909,-96.801163,
EDUCATIONAL KITCHEN,Routine,12/02/2019,97,1610,MALCOLM X,#350,75201,2500 VICTORY AVE TERR #5054,Dec 2019,FY2020,32.778595,-96.778835,
EDUCATIONAL KITCHEN,Routine,07/11/2019,100,1610,MALCOLM X,#350,75201,2500 VICTORY AVE TERR #5056,Jul 2019,FY2019,32.778595,-96.778835,
EDUCATIONAL KITCHEN,Routine,01/24/2019,93,1610,MALCOLM X,#350,75201,2500 VICTORY AVE TERR #5062,Jan 2019,FY2019,32.778595,-96.778835,
EGG ROLL EXPRESS,Routine,08/26/2019,85,14050,PEYTON,,75240,2211 N HOUSTON ST,Aug 2019,FY2019,32.939611,-96.770521,
EGG ROLL YEH'S,Routine,10/24/2019,85,10518,NORTHWEST,,75238,1107 W CAMP WISDOM RD,Oct 2019,FY2020,32.864194,-96.702918,
EGG ROLL YEH'S,Routine,03/14/2019,89,10518,NORTHWEST,,75238,11076 HARRY HINES BLVD #400,Mar 2019,FY2019,32.864194,-96.702918,
