restaurant_name,inspection_type,inspection_date,inspection_score,street_number,street_name,street_unit,zip_code,street_address,inspection_month,inspection_year
SUPER MERCADO MEXICO #3,Routine,11/9/2018,92,7828,LAKE JUNE,,75217,7828 LAKE JUNE RD,11/1/2018,FY2019
SUPER MERCADO MONTERREY #5 BAKERY,Routine,1/24/2019,88,5306,DAVIS,,75211,5306 W DAVIS ST,1/1/2019,FY2019
SUPER MERCADO MONTERREY BAKERY &TOR,Routine,1/21/2019,95,1120,WESTMORELAND,,75211,1120 S WESTMORELAND RD,1/1/2019,FY2019
SUPER SAVE BEER & WINE,Routine,11/1/2018,90,3629,HOLMES,,75215,3629 HOLMES ST,11/1/2018,FY2019
SUPER SAVE STORE,Routine,8/29/2019,90,1727,BARNES BRIDGE,,75228,1727 BARNES BRIDGE RD,8/1/2019,FY2019
SUPER SEALS GROCERY,Routine,1/14/2020,87,2769,CLARENDON,,75211,2769 W CLARENDON DR,1/1/2020,FY2020
SUPER SKATE,Routine,2/10/2017,93,13953,C F HAWN,,75253,13953 C F HAWN FRWY,2/1/2017,FY2017
SUPER TACASO,Routine,9/20/2019,91,2801,CLARENDON,,75211,2801 W CLARENDON DR,9/1/2019,FY2019
SUPER TARGET #1775 (DELI),Routine,12/6/2019,95,16731,COIT,,75248,16731 COIT RD,12/1/2019,FY2020
SUPER TARGET #1784 DELI,Routine,12/12/2019,96,6419,SKILLMAN,,75231,6419 SKILLMAN ST,12/1/2019,FY2020
SUPER TIENDA GUANACO EXP,Routine,5/9/2019,99,2309,GUS THOMASSON,,75228,2309 GUS THOMASSON RD,5/1/2019,FY2019
SUPERMERCADO TELOLOAPAN #17 (MEAT MARKET),Routine,1/22/2018,90,4950,ILLINOIS,121,75211,4950 W ILLINOIS AVE 121,1/1/2018,FY2018
"SUPERMERCADO TELOLOAPAN #17, INC (GROCERY)",Routine,1/22/2018,85,4950,ILLINOIS,#123,75211,4950 W ILLINOIS AVE #123,1/1/2018,FY2018
SUR LA TABLE,Routine,10/30/2019,99,6025,ROYAL,#130,75230,6025 ROYAL LN #130,10/1/2019,FY2020
SUR LE TABLE,Routine,8/5/2019,90,4525,COLE,#190,75205,4525 COLE AVE #190,8/1/2019,FY2019
SUSHI AXIOM,Routine,10/24/2019,85,3211,OAK LAWN,#C,75219,3211 OAK LAWN AVE STE #C,10/1/2019,FY2020
SUSHI AXIOM,Routine,9/4/2019,88,5225,BELTLINE,#240,75251,5225 BELTLINE RD #240,9/1/2019,FY2019
SUSHI AXIOM,Follow-up,9/12/2018,80,2323,HENDERSON,#100,75206,2323 N HENDERSON AVE STE #100,9/1/2018,FY2018
SUSHI BAYASHI,Routine,11/19/2019,80,3011,GULDEN,#106,75212,3011 GULDEN LN #106,11/1/2019,FY2020
SUSHI FORK,Routine,7/29/2019,91,5600,SMU,#101,75206,5600 SMU BLVD #101,7/1/2019,FY2019
SUSHI GO,Routine,8/29/2019,81,14999,PRESTON,#C102,75254,14999 PRESTON RD #C102,8/1/2019,FY2019
SUSHI HOUSE,Routine,12/9/2019,94,5619,LOVERS,,75209,5619 W LOVERS LN,12/1/2019,FY2020
SUSHI ICHIBAN,Routine,11/18/2019,80,12101,GREENVILLE,#106,75243,12101 GREENVILLE AVE #106,11/1/2019,FY2020
SUSHI MAKU,Routine,9/6/2019,92,17721,DALLAS,#100,75287,17721 DALLAS PKWY #100,9/1/2019,FY2019
SUSHI NARA,Routine,7/30/2019,95,611,JEFFERSON,#C,75208,611 W JEFFERSON BLVD #C,7/1/2019,FY2019
SUSHI ONE,Routine,8/12/2019,92,700,PEARL,#G102,75201,700 N PEARL ST #G102,8/1/2019,FY2019
SUSHI ROBATA,Routine,12/17/2019,97,4727,FRANKFORD,313,75287,4727 FRANKFORD RD STE 313,12/1/2019,FY2020
SUSHI ROCK,Routine,7/2/2019,97,7601,CAMPBELL,#700,75248,7601 CAMPBELL RD #700,7/1/2019,FY2019
SUSHI STAR,Routine,6/10/2019,85,5956,ROYAL,,75230,5956 ROYAL LN,6/1/2019,FY2019
SUSHI TIME,Routine,7/22/2019,96,1638,MOCKINGBIRD,,75235,1638 W MOCKINGBIRD LN,7/1/2019,FY2019
SUSHI YA RESTAURANT,Routine,10/17/2019,85,1306,ELM,,75202,1306 ELM ST,10/1/2019,FY2020
SUSHI YAA 2,Routine,1/9/2020,88,1700,PACIFIC,C111,75201,1700 PACIFIC AVE C111,1/1/2020,FY2020
SUSHI ZUSHI,Routine,8/7/2019,89,3636,MCKINNEY,150,75238,3636 MCKINNEY AVE 150,8/1/2019,FY2019
SUSHIBOX-SC8248,Routine,6/21/2019,98,9461,WEBB CHAPEL,#100,75220,9461 WEBB CHAPEL RD #100,6/1/2019,FY2019
SUSIE CAKES,Routine,4/2/2019,93,6100,LUTHER,,75225,6100 LUTHER LN,4/1/2019,FY2019
SUSU PROPERTIES LLC,Routine,11/30/2018,80,1831,EWING,,75216,1831 S EWING AVE,11/1/2018,FY2019
SUZE,Routine,9/18/2019,92,4343,NORTHWEST,#300,752203832,4343 W NORTHWEST HWY #300,9/1/2019,FY2019
SUZE,Routine,7/27/2017,85,4345,NORTHWEST,#270,75220,4345 W NORTHWEST HWY #270,7/1/2017,FY2017
SUZY DONUTS,Routine,1/10/2019,95,2330,ROYAL,#700,75229,2330 ROYAL LN #700,1/1/2019,FY2019
SWADESHI INDIAN CUISINE,Routine,8/8/2019,87,7659,MCCALLUM,#102,75252,7659 MCCALLUM BLVD #102,8/1/2019,FY2019
SWAMP CAFE,Routine,11/19/2019,90,17721,DALLAS,#104,75287,17721 DALLAS PKWY #104,11/1/2019,FY2020
SWAYZ,Routine,8/22/2019,90,9750,WALNUT,#114,75243,9750 WALNUT ST #114,8/1/2019,FY2019
SWAYZ BAR,Routine,8/22/2019,96,9750,WALNUT,#116,75243,9750 WALNUT ST #116,8/1/2019,FY2019
SWEET BASIL,Routine,8/7/2019,89,17610,MIDWAY,#150,75252,17610 MIDWAY RD #150,8/1/2019,FY2019
SWEET FROG,Routine,10/21/2019,95,3701,NORTHWEST,#430,75220,3701 W NORTHWEST HWY #430,10/1/2019,FY2020
SWEET GEORGIA BROWN,Routine,1/6/2020,84,2840,LEDBETTER,,75216,2840 E LEDBETTER DR,1/1/2020,FY2020
SWEET LIFE DONUTS,Follow-up,11/7/2018,83,11411,NORTHWEST,#103,75218,11411 E NORTHWEST HWY #103,11/1/2018,FY2019
SWEET SENSATIONS,Routine,12/26/2018,97,1701,MARKET,#155,75202,1701 N MARKET ST #155,12/1/2018,FY2019
SWEET TOOTH HOTEL,Routine,8/23/2019,87,2316,VICTORY,#H5,75219,2316 VICTORY PKWY #H5,8/1/2019,FY2019
SWEETS BY SELINA,Routine,2/15/2019,94,1150,EMPIRE CENTRAL,#102,75247,1150 EMPIRE CENTRAL PL #102,2/1/2019,FY2019
SWIFT-T,Follow-up,5/10/2019,80,2908,SAMUELL,#100,75223,2908 SAMUELL BLVD #100,5/1/2019,FY2019
SWIFT-T #8,Routine,9/11/2019,83,9666,PLANO,,75238,9666 PLANO RD,9/1/2019,FY2019
SZECHUAN RESTAURANT,Routine,7/30/2019,84,4411,LEMMON,#108,75219,4411 LEMMON AVE #108,7/1/2019,FY2019
T BAR M RACQUET CLUB,Routine,1/7/2020,84,6060,DILBECK,,75240,6060 DILBECK LN,1/1/2020,FY2020
T BONE PICKENS,Routine,12/12/2019,100,12477,MERIT,,75251,12477 MERIT DR,12/1/2019,FY2020
T C GROCERY,Routine,2/21/2019,87,5050,CROZIER,,75215,5050 CROZIER ST,2/1/2019,FY2019
T C MARSH JR HIGH,Routine,9/25/2019,100,3838,CROWN SHORE,,75234,3838 CROWN SHORE RD,9/1/2019,FY2019
T C SHAVED ICE,Routine,8/29/2019,80,10999,GARLAND,,75218,10999 GARLAND RD,8/1/2019,FY2019
T D'S BBQ,Routine,9/11/2019,81,3403,LANCASTER,,75216,3403 S LANCASTER RD,9/1/2019,FY2019
T G TERRY SCH,Routine,11/18/2019,97,6661,GREENSPAN,,75232,6661 GREENSPAN DR,11/1/2019,FY2020
T GROCERY,Routine,4/3/2019,89,4500,BRYAN,,75204,4500 BRYAN ST,4/1/2019,FY2019
T L MARSALIS ELEMENTARY,Routine,11/20/2019,92,5640,MARSALIS,,75241,5640 S MARSALIS AVE,11/1/2019,FY2020
T R HOOVER MULTI-PURPOSE,Routine,2/4/2019,98,5106,BEXAR,,75215,5106 BEXAR ST,2/1/2019,FY2019
T ROOM - KITCHEN,Routine,9/23/2019,92,1615,MAIN,,75201,1615 MAIN ST,9/1/2019,FY2019
T W BROWNE SCH,Routine,11/18/2019,91,3333,SPRAGUE,,75233,3333 SPRAGUE DR,11/1/2019,FY2020
T.G.I. FRIDAYS #565,Routine,7/24/2019,87,1713,MARKET,,75202,1713 N MARKET ST,7/1/2019,FY2019
TABOO LOUNGE,Routine,2/17/2019,92,1418,RIVERFRONT,,75207,1418 N RIVERFRONT BLVD,2/1/2019,FY2019
TACARIA,Follow-up,10/8/2019,88,8702,SPRING VALLEY,#D,75240,8702 SPRING VALLEY RD #D,10/1/2019,FY2020
TACHITO'S MEXICAN,Routine,9/11/2019,80,3210,ILLINOIS,,75211,3210 W ILLINOIS AVE,9/1/2019,FY2019
TACO AZTECA,Routine,12/13/2019,84,11200,HARRY HINES,#S1,75229,11200 HARRY HINES BLVD #S1,12/1/2019,FY2020
TACO AZTECA,Routine,1/29/2018,70,8155,RL THORNTON,#170,75228,8155 S RL THORNTON FRWY #170,1/1/2018,FY2018
TACO BELL,Routine,1/10/2020,100,11829,ABRAMS,,75243,11829 ABRAMS RD,1/1/2020,FY2020
TACO BELL,Routine,1/2/2020,96,9820,WALNUT HILL,,75238,9820 WALNUT HILL LN,1/1/2020,FY2020
TACO BELL,Routine,12/19/2019,91,11441,JUPITER,,75218,11441 JUPITER RD,12/1/2019,FY2020
TACO BELL,Routine,12/3/2019,98,4616,FRANKFORD,,75287,4616 FRANKFORD RD,12/1/2019,FY2020
TACO BELL,Routine,11/13/2019,96,15208,MONTFORT,,75248,15208 MONTFORT DR,11/1/2019,FY2020
TACO BELL,Routine,7/16/2019,92,11702,PLANO,,75243,11702 PLANO RD,7/1/2019,FY2019
TACO BELL,Routine,6/14/2019,87,4717,VISTAWOOD,,75232,4717 VISTAWOOD BLVD,6/1/2019,FY2019
TACO BELL,Routine,1/30/2019,97,10310,LAKE JUNE,,75217,10310 LAKE JUNE RD,1/1/2019,FY2019
TACO BELL,Routine,1/23/2019,95,4341,LEMMON,,75219,4341 LEMMON AVE,1/1/2019,FY2019
TACO BELL,Routine,11/8/2018,95,3636,FOREST,#100,75229,3636 FOREST LN #100,11/1/2018,FY2019
TACO BELL,Routine,11/6/2018,90,7110,GREENVILLE,,75231,7110 GREENVILLE AVE,11/1/2018,FY2019
TACO BELL,Routine,10/14/2018,91,5575,JIM MILLER,,75228,5575 N JIM MILLER RD,10/1/2018,FY2019
TACO BELL #1089,Routine,10/17/2019,81,5506,MOCKINGBIRD,,75206,5506 E MOCKINGBIRD LN,10/1/2019,FY2020
TACO BELL #1331,Routine,1/15/2019,92,3127,INWOOD,,75235,3127 INWOOD RD,1/1/2019,FY2019
TACO BELL #16224,Routine,2/19/2019,93,2404,WASHINGTON,,75204,2404 N WASHINGTON AVE,2/1/2019,FY2019
TACO BELL #17107,Routine,11/27/2018,98,505,ILLINOIS,,75224,505 W ILLINOIS AVE,11/1/2018,FY2019
TACO BELL #20488,Routine,10/10/2018,96,1955,BUCKNER,,75217,1955 S BUCKNER BLVD,10/1/2018,FY2019
TACO BELL #29886,Routine,10/7/2019,88,13670,PRESTON,,75240,13670 PRESTON RD,10/1/2019,FY2020
TACO BELL #364,Routine,1/3/2019,90,3223,FORT WORTH,,75211,3223 FORT WORTH AVE,1/1/2019,FY2019
TACO BELL #366,Routine,7/12/2019,84,2972,WHEATLAND,,75237,2972 W WHEATLAND RD,7/1/2019,FY2019
TACO BELL #367,Routine,12/12/2019,93,3470,ILLINOIS,,75216,3470 W ILLINOIS AVE,12/1/2019,FY2020
TACO BELL EXPRESS,Routine,12/28/2016,100,700,PEARL,#FC2,75201,700 N PEARL EXPW #FC2,12/1/2016,FY2017
TACO BELL/ PIZZA HUT,Routine,1/15/2019,98,17530,MARSH,,75252,17530 MARSH LN,1/1/2019,FY2019
TACO BELL/ PIZZA HUT #371,Routine,12/18/2018,86,8249,STEMMONS,,75247,8249 N STEMMONS FRWY,12/1/2018,FY2019
TACO BELL/KFC #372,Routine,1/8/2020,96,1702,COCKRELL HILL,,75212,1702 N COCKRELL HILL RD,1/1/2020,FY2020
TACO BELL/LONG JOHN SILVERS,Routine,1/17/2019,96,4345,CAMP WISDOM,,75237,4345 W CAMP WISDOM RD,1/1/2019,FY2019
TACO BELL/LONG JOHN SILVERS #368,Routine,12/12/2018,96,8407,LANCASTER,,75241,8407 S LANCASTER RD,12/1/2018,FY2019
TACO BELL/PIZZA HUT #370,Routine,2/5/2019,93,2245,NORTHWEST,,75220,2245 W NORTHWEST HWY,2/1/2019,FY2019
TACO BORRACHO,Routine,9/25/2019,97,300,AKARD,#11B,75201,300 N AKARD ST #11B,9/1/2019,FY2019
TACO BORRACHO,Routine,1/14/2019,97,300,AKARD,#110,75201,300 N AKARD ST #110,1/1/2019,FY2019
TACO BUENO,Routine,12/5/2019,90,7953,HAMPTON,,75232,7953 S HAMPTON RD,12/1/2019,FY2020
TACO BUENO,Routine,2/4/2019,92,14221,COIT,,75240,14221 COIT RD,2/1/2019,FY2019
TACO BUENO,Routine,2/26/2019,99,7940,CENTRAL,#101,75206,7940 N CENTRAL EXPW #101,2/1/2019,FY2019
TACO BUENO #3026,Routine,11/5/2019,81,7940,FOREST,,75230,7940 FOREST LN,11/1/2019,FY2020
TACO BUENO #3086,Routine,6/19/2018,92,2630,BUCKNER,,75227,2630 S BUCKNER BLVD,6/1/2018,FY2018
TACO BUENO #3092,Routine,1/10/2020,87,13443,MONTFORT,,75240,13443 MONTFORT DR,1/1/2020,FY2020
TACO BUENO #3093,Routine,3/16/2017,85,8939,SKILLMAN,,75243,8939 SKILLMAN ST,3/1/2017,FY2017
TACO BUENO #3115,Routine,11/6/2018,96,17848,PRESTON,,75252,17848 PRESTON RD,11/1/2018,FY2019
TACO CABANA,Routine,11/27/2019,90,9210,RL THORNTON,,75228,9210 E RL THORNTON FRWY,11/1/2019,FY2020
TACO CABANA,Routine,10/8/2019,90,15239,MONTFORT,,78254,15239 MONTFORT DR,10/1/2019,FY2020
