restaurant_name,inspection_type,inspection_date,inspection_score,street_number,street_name,street_unit,zip_code,street_address,inspection_month,inspection_year,lat,long
CENTRAL MARKET GELATO,Routine,12/11/2019,99,5750,LOVERS,,75206,5750 E LOVERS LN,Dec 2019,FY2020,32.851001, -96.768981
SIDNEY LANIER SCHOOL,Routine,11/15/2019,95,1400,WALMSLEY,,75208,1400 WALMSLEY AVE,Nov 2019,FY2020,32.769418, -96.843326
BLUE SUSHI SAKE GRILL,Routine,11/13/2019,91,7859,WALNUT HILL,#180,75230,7859 WALNUT HILL LN #180,Nov 2019,FY2020,32.880136, -96.772196
JACK IN THE BOX#715,Routine,09/05/2019,99,3195,ROYAL,,75229,3195 ROYAL LN,Sep 2019,FY2019,32.895221, -96.871304
CRIS AND JOHN,Complaint,11/21/2019,81,5555,PRESTON OAKS,#5,75254,5555 PRESTON OAKS RD #5,Nov 2019,FY2020,32.943107, -96.813616
BURGERIM,Routine,11/14/2019,91,5301,ALPHA,#A-22,75240,5301 ALPHA RD #A-22,Nov 2019,FY2020,32.932852, -96.816561
GAS MONKEY GRILL,Routine,11/14/2019,81,10261,TECHNOLOGY,,75220,10261 E TECHNOLOGY BLVD,Nov 2019,FY2020,32.861343, -96.895706
DEL RIO MEXICAN RESTAURANT,Routine,12/05/2019,83,421,LAWSON,,75253,421 W LAWSON RD,Dec 2019,FY2020,32.697049, -96.577079
STRATOS BAR & GRILL,Routine,11/18/2019,92,2907,NORTHWEST,,75220,2907 W NORTHWEST HWY,Nov 2019,FY2020,32.856928, -96.872321
"BELMONT VILLAGE TURTLE CREEK TENANT, LLC",Routine,12/11/2019,96,3535,HALL,,75219,3535 N HALL ST,Dec 2019,FY2020,32.808072, -96.804906
PHO DK,Routine,11/25/2019,92,14891,PRESTON,#130,75254,14891 PRESTON RD #130,Nov 2019,FY2020,32.950651, -96.803621
WHATABURGER,Routine,11/21/2019,89,8850,STEMMONS,,75247,8850 N STEMMONS FRWY,Nov 2019,FY2020,32.835264, -96.874543
THE WINSTON SCHOOL,Routine,11/14/2019,94,5707,ROYAL,,75230,5707 ROYAL LN,Nov 2019,FY2020,32.894891, -96.810734
MCDONALDS,Routine,08/16/2019,99,9403,GARLAND,,75218,9403 GARLAND RD,Aug 2019,FY2019,32.833041, -96.703213
MURPHY'S DELI,Routine,11/11/2019,84,12770,MERIT DR,#112,75251,12770 MERIT DR #112,Nov 2019,FY2020,32.922176, -96.772077
FRANKLIN STADIUM,Routine,11/21/2019,97,10000,HILLCREST,,75230,10000 HILLCREST RD,Nov 2019,FY2020,32.885547, -96.786689
ABUGEDA GROCERY,Routine,11/14/2019,94,12101,GREENVILLE,#107,75243,12101 GREENVILLE AVE #107,Nov 2019,FY2020,32.912637, -96.745599
CAFE DONUTS,Routine,01/17/2019,98,6333,MOCKINGBIRD,#115,75214,6333 E MOCKINGBIRD LN #115,Jan 2019,FY2019,32.837429, -96.754041
FIESTA DE FRUTAS RESTAURANT,Routine,12/11/2019,82,9888,FERGUSON,#159,75228,9888 FERGUSON RD #159,Dec 2019,FY2020,32.822647, -96.678033
BOMBONES,Routine,12/11/2019,97,11917,NORTHWEST,,75218,11917 E NORTHWEST HWY,Dec 2019,FY2020,32.8642, -96.675717
PIZZA HUT #034523,Routine,11/19/2019,89,2110,LEDBETTER,,75216,2110 E LEDBETTER DR,Nov 2019,FY2020,32.686579, -96.788333
CVS PHARMACY #10977,Routine,11/15/2019,97,7979,BELTLINE,,75248,7979 BELTLINE RD,Nov 2019,FY2020,42.16349, -89.076492
UNION GOSPEL MISSION,Routine,09/05/2019,98,4815,CASS,,75235,4815 CASS ST,Sep 2019,FY2019,32.812935, -96.828855
CITYSCAPE SCHOOLS INC.,Routine,11/15/2019,91,6211,EAST GRAND,,75223,6211 EAST GRAND AVE,Nov 2019,FY2020,32.798331, -96.742372
