restaurant_name,inspection_type,inspection_date,inspection_score,street_number,street_name,street_unit,zip_code,street_address,inspection_month,inspection_year
TAQUERIA LOS ARCOS DE JAL,Routine,06/24/2019,93,6300,SAMUELL,#158,75228,6300 SAMUELL BLVD #158,Jun 2019,FY2019
RESTAURANTE Y PUPUSERIA LA UNICA,Routine,06/18/2019,95,7325,FERGUSON,,75228,7325 FERGUSON RD,Jun 2019,FY2019
TAQUERIA LA SALSA VERDE (INSIDE),Follow-up,07/01/2019,90,14225,COIT,,75254,14225 COIT,Jul 2019,FY2019
PEI WEI ASIAN DINER,Routine,06/26/2019,80,2222,MCKINNEY,#100,75201,2222 MCKINNEY AVE #100,Jun 2019,FY2019
EL SABOR DE MI TIERRA,Routine,07/02/2019,91,8630,RL THORNTON,#101,75228,8630 E RL THORNTON FRWY #101,Jul 2019,FY2019
MURPHY'S DELI,Routine,06/27/2019,90,325,SAINT PAUL,#125,75201,325 N SAINT PAUL ST #125,Jun 2019,FY2019
HUNT FOOD,Routine,06/25/2019,95,7932,GREAT TRINITY FOREST,#101A,75217,7932 GREAT TRINITY FOREST WAY #101A,Jun 2019,FY2019
AMIGO'S GROCERY,Routine,06/17/2019,94,2259,ANSON,,75235,2259 ANSON AVE,Jun 2019,FY2019
LA VILLITA RESTAURANT,Routine,06/12/2019,87,4746,BERNAL,,75212,4746 BERNAL DR,Jun 2019,FY2019
ST MARTIN'S,Routine,06/12/2019,93,3020,GREENVILLE,,75206,3020 GREENVILLE AVE,Jun 2019,FY2019
COLUMBIA KWIK STOP,Routine,12/03/2019,96,106,FITZHUGH,,75226,106 S FITZHUGH AVE,Dec 2019,FY2020
MARKET LATINA RESTAURANT,Routine,07/03/2019,88,9753,WEBB CHAPEL,#950,75220,9753 WEBB CHAPEL RD STE #950,Jul 2019,FY2019
SUBWAY #59917,Routine,06/13/2019,80,200,SHORT,,75232,200 SHORT BLVD,Jun 2019,FY2019
7-ELEVEN #35425B,Routine,06/20/2019,66,8302,ABRAMS,,75243,8302 ABRAMS RD,Jun 2019,FY2019
"VESTALS, INC",Routine,06/14/2019,80,601,HASKELL,,75246,601 N HASKELL AVE,Jun 2019,FY2019
UTOPIA FOOD AND FITNESS,Routine,06/26/2019,100,5509,LOVERS,#A,75209,5509 W LOVERS LN #A,Jun 2019,FY2019
HILTON GARDEN INN (RESTAURANT),Routine,06/19/2019,92,2325,STEMMONS,,75235,2325 N STEMMONS FRWY,Jun 2019,FY2019
WAL-MART DAIRY/MEAT,Routine,06/17/2019,91,200,SHORT,,75232,200 SHORT BLVD,Jun 2019,FY2019
EL FENIX,Routine,07/08/2019,93,240,WEBB CHAPEL VILLAGE,,75229,240 WEBB CHAPEL VILLAGE S/C,Jul 2019,FY2019
MY FAMILY PIZZA,Routine,06/29/2019,90,1915,SKILLMAN,,75206,1915 SKILLMAN ST,Jun 2019,FY2019
CAFE HERRERA,Routine,06/11/2019,95,665,LAMAR,#140,75202,665 S LAMAR #140,Jun 2019,FY2019
MCDONALDS,Routine,06/26/2019,88,700,PEARL,FL5,75201,700 N PEARL EXPW FL5,Jun 2019,FY2019
UPTOWN THAI MARKET,Routine,06/19/2019,80,4817,ROSS,,75204,4817 ROSS AVE,Jun 2019,FY2019
ADORA MIDTOWN PARK (1ST FLOOR),Routine,06/25/2019,90,8130,MEADOW,,75237,8130 MEADOW RD,Jun 2019,FY2019
HOTEL ZAZA KITCHEN,Routine,06/18/2019,92,2332,LEONARD,,75201,2332 LEONARD ST,Jun 2019,FY2019
TACODELI,Routine,07/02/2019,90,8031,WALNUT HILL,#1050,75231,8031 WALNUT HILL LN #1050,Jul 2019,FY2019
ARCO IRIS PRIVATE CLUB,Routine,06/19/2019,89,310,BECKLEY,,75203,310 S BECKLEY AVE,Jun 2019,FY2019
PHYSICIAN'S DINNING,Routine,01/10/2019,97,1935,MEDICAL DISTRICT,,75235,1935 MEDICAL DISTRICT DR,Jan 2019,FY2019
P S CATERING,Routine,07/09/2019,89,10118,RYLIE,,75217,10118 RYLIE RD,Jul 2019,FY2019
TONY'S PIZZA & PASTA,Routine,06/25/2019,86,10233,NORTHWEST,#504,75238,10233 E NORTHWEST HWY #504,Jun 2019,FY2019
CENTERPLATE TOP DOG #13 KIOSK,Routine,06/19/2019,100,650,GRIFFIN,,75202,650 S GRIFFIN ST,Jun 2019,FY2019
CORNER BAKERY,Routine,06/26/2019,84,600,PEARL,#100,75201,600 N PEARL EXPW #100,Jun 2019,FY2019
